0091 01 03      7 × 13
0301 01 10      7 × 43
0511 01 17      7 × 73
0721 01 24      7 × 103
0931 01 31      7 × 133
1141 01 38      7 × 163
1351 01 45      7 × 193
1561 01 52      7 × 223
1771 01 59      7 × 253
0217 07 07      7 × 31
0427 07 14      7 × 61
0637 07 21      7 × 91
0847 07 28      7 × 121
1057 07 35      7 × 151
1267 07 42      7 × 181
1477 07 49      7 × 211
0161 11 05      7 × 23
0371 11 12      7 × 53
0581 11 19      7 × 83
0791 11 26      7 × 113
1001 11 33      7 × 143
1211 11 40      7 × 173
1421 11 47      7 × 203
0133 13 04      7 x 19
0343 13 11      7 x 49
0553 13 18      7 x 79
0763 13 25      7 x 109
0973 13 32      7 x 139
1183 13 39      7 x 169
1393 13 46      7 x 199
1603 13 53      7 x 229
0077 17 02      7 × 11
0287 17 09      7 × 41
0497 17 16      7 × 71
0707 17 23      7 × 101
0917 17 30      7 × 131
1127 17 37      7 × 161
1337 17 44      7 × 191
1547 17 51      7 × 221
0049 19 01      7 × 7
0259 19 08      7 × 37
0469 19 15      7 × 67
0679 19 22      7 × 97
0889 19 29      7 × 127
1099 19 36      7 × 157
1309 19 43      7 × 187
1519 19 50      7 × 217
1729 19 57      7 × 247
0203 23 06      7 × 29
0413 23 13      7 × 59 
0623 23 20      7 × 89
0833 23 27      7 × 119
1043 23 34      7 × 149
1253 23 41      7 × 179
1463 23 48      7 × 209
1673 23 55      7 × 239
0119 29 03      7 × 17
0329 29 10      7 × 47
0539 29 17      7 × 77 
0749 29 24      7 × 107
0959 29 31      7 × 137
1169 29 38      7 × 167
1379 29 45      7 × 197
1589 29 52      7 × 227
