#x      #y      #z      #c      #comment Prime
00      00      00      0       #
00      01      00      0       #P
00      02      00      0       #P
00      03      00      0       #P
00      04      00      0       #
00      05      00      0       #P
00      06      00      0       #
00      07      00      0       #P
00      08      00      0       #
00      09      00      0       #
00      10      00      0       #
00      11      00      0       #P
00      12      00      0       #
00      13      00      0       #P
00      14      00      0       #
00      15      00      0       #
00      16      00      0       #
00      17      00      0       #P
00      18      00      0       #
00      19      00      0       #P
00      20      00      0       #
00      21      00      0       #
00      22      00      0       #
00      23      00      0       #P
00      24      00      0       #
00      25      00      0       #
00      26      00      0       #
00      27      00      0       #P
00      28      00      0       #
00      29      00      0       #P
#x      #y      #z      #c      #comment Prime
00      30      00      0       0
00      31      00      0       #P
00      32      00      0       #
00      33      00      0       #
00      34      00      0       #
00      35      00      0       #
00      36      00      0       #
00      37      00      0       #P
00      38      00      0       #
00      39      00      0       #
00      40      00      0       #
00      41      00      0       #P
00      42      00      0       #
00      43      00      0       #P
00      44      00      0       #
00      45      00      0       #
00      46      00      0       #
00      47      00      0       #P
00      48      00      0       #
00      49      00      0       #
00      50      00      0       #
00      51      00      0       #
00      52      00      0       #
00      53      00      0       #P
00      54      00      0       #
00      55      00      0       #
00      56      00      0       #
00      57      00      0       #
00      58      00      0       #
00      59      00      0       #P
#x      #y      #z      #c      #comment Prime
00      60      00      0       #
00      61      00      0       #P
00      62      00      0       #
00      63      00      0       #
00      64      00      0       #
00      65      00      0       #
00      66      00      0       #
00      67      00      0       #P
00      68      00      0       #
00      69      00      0       #
00      70      00      0       #
00      71      00      0       #P
00      72      00      0       #
00      73      00      0       #
00      74      00      0       #
00      75      00      0       #
00      76      00      0       #
00      77      00      0       #
00      78      00      0       #
00      79      00      0       #P
00      80      00      0       #
00      81      00      0       #
00      82      00      0       #
00      83      00      0       #P
00      84      00      0       #
00      85      00      0       #
00      86      00      0       #
00      87      00      0       #
00      88      00      0       #
00      89      00      0       #P
#x      #y      #z      #c      #comment Prime
02      00      00      0       #
02      02      04      0       #
02      03      06      0       #
02      04      08      0       #
02      05      10      0       #
02      06      12      0       #
02      08      16      0       #
02      09      18      0       #
02      10      20      0       #
02      12      24      0       #
02      14      28      0       #
02      15      00      0       #
02      16      02      0       #
02      18      06      0       #
02      20      10      0       #
02      21      12      0       #
02      22      14      0       #
02      24      18      0       #
02      25      20      0       #
02      26      22      0       #
02      28      26      0       #
#x      #y      #z      #c      #comment Prime
02      30      00      0       0
02      32      04      0       #
02      33      06      0       #
02      34      08      0       #
02      35      10      0       #
02      36      12      0       #
02      38      16      0       #
02      39      18      0       #
02      40      20      0       #
02      42      24      0       #
02      44      28      0       #
02      45      00      0       #
02      46      02      0       #
02      48      06      0       #
02      49      08      0       #
02      50      10      0       #
02      51      12      0       #
02      52      14      0       #
02      54      18      0       #
02      55      20      0       #
02      56      22      0       #
02      57      24      0       #
02      58      26      0       #
#x      #y      #z      #c      #comment Prime
02      60      00      0       #
02      62      04      0       #
02      63      06      0       #
02      64      08      0       #
02      65      10      0       #
02      66      12      0       #
02      68      16      0       #
02      69      18      0       #
02      70      20      0       #
02      72      24      0       #
02      73      26      0       #
02      74      28      0       #
02      75      00      0       #
02      76      02      0       #
02      77      04      0       #
02      78      06      0       #
02      80      10      0       #
02      81      12      0       #
02      82      14      0       #
02      84      18      0       #
02      85      20      0       #
02      86      22      0       #
02      87      24      0       #
02      88      26      0       #
#x      #y      #z      #c      #comment Prime
03      00      00      0       #
03      02      06      0       #
03      03      09      0       #
03      04      12      0       #
03      05      15      0       #
03      06      18      0       #
03      08      24      0       #
03      09      27      0       #
03      10      00      0       #
03      12      06      0       #
03      14      12      0       #
03      15      15      0       #
03      16      18      0       #
03      18      24      0       #
03      20      00      0       #
03      21      03      0       #
03      22      06      0       #
03      24      12      0       #
03      25      15      0       #
03      26      18      0       #
03      28      24      0       #
#x      #y      #z      #c      #comment Prime
03      30      00      0       0
03      32      06      0       #
03      33      09      0       #
03      34      12      0       #
03      35      15      0       #
03      36      18      0       #
03      38      24      0       #
03      39      27      0       #
03      40      00      0       #
03      42      06      0       #
03      44      12      0       #
03      45      15      0       #
03      46      18      0       #
03      48      24      0       #
03      49      27      0       #
03      50      00      0       #
03      51      03      0       #
03      52      06      0       #
03      54      12      0       #
03      55      15      0       #
03      56      18      0       #
03      57      21      0       #
03      58      24      0       #
#x      #y      #z      #c      #comment Prime
03      60      00      0       #
03      62      06      0       #
03      63      09      0       #
03      64      12      0       #
03      65      15      0       #
03      66      18      0       #
03      68      24      0       #
03      69      27      0       #
03      70      00      0       #
03      72      06      0       #
03      73      09      0       #
03      74      12      0       #
03      75      15      0       #
03      76      18      0       #
03      77      21      0       #
03      78      24      0       #
03      80      00      0       #
03      81      03      0       #
03      82      06      0       #
03      84      12      0       #
03      85      15      0       #
03      86      18      0       #
03      87      21      0       #
03      88      24      0       #
#x      #y      #z      #c      #comment Prime
04      00      00      0       #
04      02      08      0       #
04      03      12      0       #
04      04      16      0       #
04      05      20      0       #
04      06      24      0       #
04      08      02      0       #
04      09      06      0       #
04      10      10      0       #
04      12      18      0       #
04      14      26      0       #
