#x      #y      #z      #c      #comment Prime
17      00      00      4       #
17      02      04      4       #
17      03      21      4       #
17      04      08      4       #
17      05      25      4       #
17      06      12      4       #
17      08      16      4       #
17      09      03      4       #
17      10      20      4       #
17      12      24      4       #
17      14      28      4       #
17      15      15      4       #
17      16      02      4       #
17      18      06      4       #
17      20      10      4       #
17      21      27      4       #
17      22      14      4       #
17      24      18      4       #
17      25      05      4       #
17      26      22      4       #
17      27      09      4       #
17      28      26      4       #
17      30      30      4       0
