#x      #y      #z      #c      #comment Prime
11      01      11      3       #P
11      07      17      3       #P
11      11      01      3       #P
11      13      23      3       #P
11      17      07      3       #P
11      19      29      3       #P
11      23      13      3       #P
11      29      19      3       #P
#x      #y      #z      #c      #comment Prime
19      01      19      3       #P
19      07      13      3       #P
19      11      29      3       #P
19      13      07      3       #P
19      17      23      3       #P
19      19      01      3       #P
19      23      17      3       #P
19      29      11      3       #P
