# set palette model RGB maxcolors 8
# set palette defined ( 01 "black", 07 "green", 11 "blue", 13 "red" , 17 "pink", 19 "skyblue" , 23 "olive", 29 "gold")


#x      #y      #z      #c                  #comment Prime


01      00      00      17                  #17
01      09      03      17                  #17
01      25      05      17                  #17
01      18      06      17                  #17
01      27      09      17                  #17
01      20      10      17                  #17
01      06      12      17                  #17
01      15      15      17                  #17
01      24      18      17                  #17
01      10      20      17                  #17
01      03      21      17                  #17
01      12      24      17                  #17
01      05      25      17                  #17
01      21      27      17                  #17
