# set palette model RGB maxcolors 8
# set palette defined ( 01 "black", 07 "green", 11 "blue", 13 "red" , 17 "pink", 19 "skyblue" , 23 "olive", 29 "gold")


#x      #y      #z      #c                  #comment Prime

01      00      00      23                  #23
01      21      03      23                  #23
01      25      05      23                  #23
01      12      06      23                  #23
01      03      09      23                  #23
01      20      10      23                  #23
01      24      12      23                  #23
01      15      15      23                  #23
01      06      18      23                  #23
01      10      20      23                  #23
01      27      21      23                  #23
01      18      24      23                  #23
01      05      25      23                  #23
01      09      27      23                  #23
