#x      #y      #z      #c      #comment Prime
1       00      0       1       # 1
1       02      2       1       # 1
1       03      3       1       # 1
1       04      4       1       # 1
1       05      5       1       # 1
1       06      6       1       # 1
1       08      8       1       # 1
1       09      9       1       # 1
1       10      10      1       # 1
1       12      12      1       # 1
1       14      14      1       # 1
1       15      15      1       # 1
1       16      16      1       # 1
1       18      18      1       # 1
1       20      20      1       # 1
1       21      21      1       # 1
1       22      22      1       # 1
1       24      24      1       # 1
1       25      25      1       # 1
1       26      26      1       # 1
1       27      27      1       # 1
1       28      28      1       # 1
#x      #y      #z      #c      #comment Prime
01      00      00      1       #      29
01      02      28      1       #      29
01      03      27      1       #      29
01      04      26      1       #      29
01      05      25      1       #      29
01      06      24      1       #      29
01      08      22      1       #      29
01      09      21      1       #      29
01      10      20      1       #      29
01      12      18      1       #      29
01      14      16      1       #      29
01      15      15      1       #      29
01      16      14      1       #      29
01      18      12      1       #      29
01      20      10      1       #      29
01      21      09      1       #      29
01      22      08      1       #      29
01      24      06      1       #      29
01      25      05      1       #      29
01      26      04      1       #      29
01      27      03      1       #      29
01      28      02      1       #      29
