#x      #y      #z      #c      #comment Prime
1       01      01      1       #P 1
1       07      07      1       #P 1
1       11      11      1       #P 1
1       13      13      1       #P 1
1       17      17      1       #P 1
1       19      19      1       #P 1
1       23      23      1       #P 1
1       29      29      1       #P 1
#x      #y      #z      #c      #comment Prime
01      01      29      1       #P  29
01      07      23      1       #P  29
01      11      19      1       #P  29
01      13      17      1       #P  29
01      17      13      1       #P  29
01      19      11      1       #P  29
01      23      07      1       #P  29
01      29      01      1       #P  29
