#x      #y      #z      #c      #comment Prime
1       00      0       3       # 11
1       02      22      3       # 11
1       03      03      3       # 11
1       04      14      3       # 11
1       05      25      3       # 11
1       06      06      3       # 11
1       08      28      3       # 11
1       09      09      3       # 11
1       10      20      3       # 11
1       12      12      3       # 11
1       14      04      3       # 11
1       15      15      3       # 11
1       16      26      3       # 11
1       18      18      3       # 11
1       20      10      3       # 11
1       21      21      3       # 11
1       22      02      3       # 11
1       24      24      3       # 11
1       25      05      3       # 11
1       26      16      3       # 11
1       27      27      3       # 11
1       28      08      3       # 11
