#x      #y      #z      #c      #comment Prime
#13      00      0       4       #
13      02      26      4       #
13      03      09      4       #
13      04      22      4       #
13      05      05      4       #
13      06      18      4       #
13      08      14      4       #
13      09      27      4       #
13      10      10      4       #
13      12      06      4       #
13      14      02      4       #
13      15      15      4       #
13      16      28      4       #
13      18      24      4       #
13      20      20      4       #
13      21      03      4       #
13      22      16      4       #
13      24      12      4       #
13      25      25      4       #
13      26      08      4       #
13      27      21      4       #
13      28      04      4       #
#x      #y      #z      #c      #comment Prime
13      30      30      4       #
13      32      56      4       #
13      33      39      4       #
13      34      52      4       #
13      35      35      4       #
13      36      48      4       #
13      38      44      4       #
13      39      57      4       #
13      40      40      4       #
13      42      36      4       #
13      44      32      4       #
13      45      45      4       #
13      46      58      4       #
13      48      54      4       #
13      49      37      4       #
13      50      50      4       #
13      51      33      4       #
13      52      46      4       #
13      54      42      4       #
13      55      55      4       #
13      56      38      4       #
13      57      21      4       #
13      58      34      4       #
#x      #y      #z      #c      #comment Prime
13      60      60      4       #
13      62      86      4       #
13      63      69      4       #
13      64      82      4       #
13      65      65      4       #
13      66      78      4       #
13      68      74      4       #
13      69      87      4       #
13      70      70      4       #
13      72      66      4       #
13      73      79      4       #
13      74      62      4       #
13      75      75      4       #
13      76      88      4       #
13      77      71      4       #
13      78      84      4       #
13      80      80      4       #
13      81      63      4       #
13      82      76      4       #
13      84      72      4       #
13      85      85      4       #
13      86      68      4       #
13      87      81      4       #
13      88      64      4       #



