#x      #y      #z      #c      #comment Prime
7       01      07      2       #P
7       07      19      2       #P
7       11      17      2       #P
7       13      01      2       #P
7       17      29      2       #P
7       19      13      2       #P
7       23      11      2       #P
7       29      23      2       #P



#x      #y      #z      #c      #comment Prime
7       31      07      2       #P
7       37      19      2       #P
7       41      17      2       #P
7       43      01      2       #P
7       47      29      2       #P
7       53      11      2       #P
7       59      23      2       #P



#x      #y      #z      #c      #comment Prime
7       61      07      2       #P
7       67      19      2       #P
7       71      17      2       #P
7       79      13      2       #P
7       83      11      2       #P
7       89      23      2       #P
