#x      #y      #z      #c      #comment Prime
7       01      07      2       #P
7       07      19      2       #P
7       11      17      2       #P
7       13      01      2       #P
7       17      29      2       #P
7       19      13      2       #P
7       23      11      2       #P
7       29      23      2       #P



#x      #y      #z      #c      #comment Prime
7       31      37      2       #P
7       37      49      2       #P
7       41      47      2       #P
7       43      31      2       #P
7       47      59      2       #P
7       53      41      2       #P
7       59      53      2       #P



#x      #y      #z      #c      #comment Prime
7       61      67      2       #P
7       67      79      2       #P
7       71      77      2       #P
7       79      73      2       #P
7       83      71      2       #P
7       89      83      2       #P
