#*13    1y       fam*1   color           #Factor
13      7        1       1               #91
13      11       3       1               #143
13      41       16      1               #533
13      101      42      1               #1313
13      131      55      1               #1703
13      311      133     1               #4043
13      347      146     1               #4511
13      373      159     1               #4849
13      461      198     1               #5993
13      491      211     1               #6383
13      557      237     1               #7241
13      587      250     1               #7631
13      613      263     1               #7969
13      733      315     1               #9529
13      811      328     1               #10543
13      881      380     1               #11453
13      971      419     1               #12623
13      1009     432     1               #13117
13      1091     471     1               #14183
13      1123     484     1               #14599
13      1249     536     1               #16237
13      1301     562     1               #16913
13      1451     627     1               #18863
13      1571     679     1               #20423
                                         #
                                         #
                                         #
#*13    1y       7       Color           #Factor
13      19       8       2               #247
13      79       34      2               #1027
13      109      47      2               #1417
13      139      60      2               #1807
13      199      86      2               #2587
13      229      99      2               #2977
13      349      151     2               #4537
13      439      190     2               #5707
13      619      268     2               #8047
13      709      307     2               #9217
13      739      320     2               #9607
13      829      359     2               #10777
13      859      372     2               #11167
13      1009     437     2               #13117
13      1129     489     2               #14677
13      1249     541     2               #16237
13      1279     554     2               #16627
13      1399     606     2               #18187
13      1429     619     2               #18577
13      1459     632     2               #18967
13      1549     671     2               #20137
13      1579     684     2               #20527
                                         #
                                         #
                                         #
#*13    1y       11      Color           #Factor
13      17       7       3               #221
13      107      46      3               #1391
13      137      59      3               #1781
13      197      85      3               #2561
13      227      98      3               #2951
13      317      137     3               #4121
13      347      150     3               #4511
13      467      202     3               #6071
13      557      241     3               #7241
13      587      254     3               #7631
13      617      267     3               #8021
13      677      293     3               #8801
13      827      358     3               #10751
13      857      371     3               #11141
13      887      384     3               #11531
13      947      410     3               #12311
13      977      423     3               #12701
13      1097     475     3               #14261
13      1277     553     3               #16601
13      1307     566     3               #16991
13      1427     618     3               #18551
                                         #
                                         #
                                         #
#*13    1y       13      color           #Factor
13      31       13      4               #403
13      181      78      4               #2353
13      211      91      4               #2743
13      241      104     4               #3133
13      331      143     4               #4303
13      421      182     4               #5473
13      571      247     4               #7423
13      601      260     4               #7813
13      661      286     4               #8593
13      691      299     4               #8983
13      751      325     4               #9763
13      811      351     4               #10543
13      991      429     4               #12883
13      1021     442     4               #13273
13      1171     507     4               #15223
13      1231     533     4               #16003
13      1291     559     4               #16783
13      1381     598     4               #17953
13      1471     637     4               #19123
13      1531     663     4               #19903
                                         #
                                         #
                                         #
#*13    1y       17      Color           #Factor
13      29       12      5               #377
13      89       38      5               #1157
13      179      77      5               #2327
13      239      103     5               #3107
13      359      155     5               #4667
13      419      181     5               #5447
13      449      194     5               #5837
13      479      207     5               #6227
13      569      246     5               #7397
13      599      259     5               #7787
13      719      311     5               #9347
13      839      363     5               #10907
13      1019     441     5               #13247
13      1109     480     5               #14417
13      1229     532     5               #15977
13      1259     545     5               #16367
13      1289     558     5               #16757
13      1409     610     5               #18317
13      1439     623     5               #18707
13      1559     675     5               #20267
                                         #
                                         #
                                         #
#*13    1y       19      Color           #Factor
13      13       5       6               #169
13      43       18      6               #559
13      73       31      6               #949
13      103      44      6               #1339
13      193      83      6               #2509
13      223      96      6               #2899
13      283      122     6               #3679
13      313      135     6               #4069
13      373      161     6               #4849
13      433      187     6               #5629
13      463      200     6               #6019
13      613      265     6               #7969
13      673      291     6               #8749
13      733      317     6               #9529
13      823      356     6               #10699
13      853      369     6               #11089
13      883      382     6               #11479
13      1033     447     6               #13429
13      1093     473     6               #14209
13      1123     486     6               #14599
13      1153     499     6               #14989
13      1303     564     6               #16939
13      1423     616     6               #18499
13      1453     629     6               #18889
13      1543     668     6               #20059
                                         #
                                         #
                                         #
#*13    1y       23      Color           #Factor
13      11       4       7               #143
13      41       17      7               #533
13      101      43      7               #1313
13      131      56      7               #1703
13      191      82      7               #2483
13      251      108     7               #3263
13      311      134     7               #4043
13      431      186     7               #5603
13      461      199     7               #5993
13      491      212     7               #6383
13      701      303     7               #9113
13      821      355     7               #10673
13      881      381     7               #11453
13      971      420     7               #12623
13      1031     446     7               #13403
13      1091     472     7               #14183
13      1151     498     7               #14963
13      1181     511     7               #15353
13      1301     563     7               #16913
13      1451     628     7               #18863
13      1481     641     7               #19253
13      1571     680     7               #20423
                                         #
                                         #
                                         #
                                         #
#*13    1y       29      Color           #Factor
13      23       9       8               #299
13      83       35      8               #1079
13      113      48      8               #1469
13      233      100     8               #3029
13      293      126     8               #3809
13      353      152     8               #4589
13      443      191     8               #5759
13      563      243     8               #7319
13      593      256     8               #7709
13      683      295     8               #8879
13      743      321     8               #9659
13      863      373     8               #11219
13      953      412     8               #12389
13      983      425     8               #12779
13      1013     438     8               #13169
13      1103     477     8               #14339
13      1163     503     8               #15119
13      1283     555     8               #16679
13      1433     620     8               #18629
13      1523     659     8               #19799
13      1553     672     8               #20189
13      1583     685     8               #20579
                                         #
                                         #
