# set terminal windows 0 color solid butt enhanced standalone size 2560,1440

# cd "d:"
# cd "\prime"
# cd "\gnuplot first1000"


# splot "first1000.txt" with points pointtype 7 pointsize  1 palette


#13x    13y     13z     3c
0013    0013    0000    3
0013    0043    0001    3
0013    0073    0002    3
0013    0103    0003    3
0013    0193    0006    3
0013    0223    0007    3
0013    0283    0009    3
0013    0313    0010    3
0013    0373    0012    3
0013    0433    0014    3
0013    0463    0015    3
0013    0613    0020    3
0013    0673    0022    3
0013    0733    0024    3
0013    0823    0027    3
0013    0853    0028    3
0013    0883    0029    3
0013    1033    0034    3
0013    1093    0036    3
0013    1123    0037    3
0013    1153    0038    3
0013    1303    0043    3
0013    1423    0047    3
0013    1453    0048    3
0013    1543    0051    3
0013    1663    0055    3
0013    1693    0056    3
0013    1723    0057    3
0013    1753    0058    3
0013    1873    0062    3
0013    1993    0066    3
0013    2053    0068    3
0013    2083    0069    3
0013    2143    0071    3
0013    2203    0073    3
0013    2293    0076    3
0013    2383    0079    3
0013    2473    0082    3
0013    2503    0083    3
0013    2683    0089    3
0013    2803    0093    3
0013    2833    0094    3
0013    2953    0098    3
0013    3163    0105    3
0013    3313    0110    3
0013    3343    0111    3
0013    3433    0114    3
0013    3463    0115    3
0013    3583    0119    3
0013    3613    0120    3
0013    3643    0121    3
0013    3673    0122    3
0013    3733    0124    3
0013    3793    0126    3
0013    3823    0127    3
0013    3943    0131    3
0013    4003    0133    3
0013    4093    0136    3
0013    4153    0138    3
0013    4243    0141    3
0013    4273    0142    3
0013    4423    0147    3
0013    4483    0149    3
0013    4513    0150    3
0013    4603    0153    3
0013    4663    0155    3
0013    4783    0159    3
0013    4813    0160    3
0013    4993    0166    3
0013    5023    0167    3
0013    5113    0170    3
0013    5323    0177    3
0013    5413    0180    3
0013    5503    0183    3
0013    5563    0185    3
0013    5653    0188    3
0013    5683    0189    3
0013    5953    0198    3
0013    6043    0201    3
0013    6073    0202    3
0013    6163    0205    3
0013    6343    0211    3
0013    6373    0212    3
0013    6553    0218    3
0013    6703    0223    3
