#x      #y      #z      #c      #comment Prime
13      01      13      1       #P
13      03      09      1       #P
13      07      01      1       #P
13      11      23      1       #P
13      13      19      1       #P
13      17      11      1       #P
13      19      07      1       #P
13      23      29      1       #P
13      27      21      1       #P
13      29      17      1       #P



13      31      13      1       #P
13      37      01      1       #P
13      41      23      1       #P
13      43      19      1       #P
13      47      11      1       #P
13      53      29      1       #P
13      59      17      1       #P



13      61      13      1       #P
13      67      01      1       #P
13      71      23      1       #P
13      79      07      1       #P
13      83      29      1       #P
13      89      17      1       #P
