
#x      #y      #z      #c      #comment Prime
17      01      17      4       #P
17      03      21      4       #P
17      07      29      4       #P
17      11      07      4       #P
17      13      11      4       #P
17      17      19      4       #P
17      19      23      4       #P
17      23      01      4       #P
17      27      09      4       #P
17      29      13      4       #P



17      31      17      4       #P
17      37      29      4       #P
17      41      07      4       #P
17      43      11      4       #P
17      47      19      4       #P
17      53      01      4       #P
17      59      13      4       #P



17      61      17      4       #P
17      67      29      4       #P
17      71      07      4       #P
17      79      23      4       #P
17      83      01      4       #P
17      89      13      4       #P

