 ## command to plot
##  splot "snapin13_a.txt" with points pointtype 7 pointsize 1 palette , "snapin13_b.txt" with
##  lines palette , "snapin13_c.txt" with lines palette , "snapin13_d.txt" with lines lw 3 palette
##
##    all non prime
##
##
 #z      #x      #y     #c
1       2       2      1
1       3       3      1
1       4       4      1
1       5       5      1
1       6       6      1
1       8       8      1
1       9       9      1
1       10      10     1
1       12      12     1
1       14      14     1
1       15      15     1
1       16      16     1
1       18      18     1
1       20      20     1
1       21      21     1
1       22      22     1
1       24      24     1
1       25      25     1
1       26      26     1
1       27      27     1
1       28      28     1
