## command to plot
##  splot "snapin13_a.txt" with points pointtype 7 pointsize 1 palette , "snapin13_b.txt" with
##  lines palette , "snapin13_c.txt" with lines palette , "snapin13_d.txt" with lines lw 3 palette
##
##   all not prime = color 1
##
#z      #x      #y     #c
13      0       0      1
13      2       26     1
13      3       9      1
13      4       22     1
13      5       5      1
13      6       18     1
13      8       14     1
13      9       27     1
13      10      10     1
13      12      6      1
13      14      2      1
13      15      15     1
13      16      28     1
13      18      24     1
13      20      20     1
13      21      3      1
13      22      16     1
13      24      12     1
13      25      25     1
13      26      8      1
13      27      21     1
13      28      4      1
13      30      30     1


