## command to plot
##  splot "snapin17_a.txt" with points pointtype 7 pointsize 1 palette , "snapin17_b.txt" with
##  lines palette , "snapin17_c.txt" with lines palette , "snapin17_d.txt" with lines palette
##
 #z      #x      #y     #c
 17      0       0      1
 17      1       17     8
 17      2       4      1
 17      3       21     1
 17      4       8      1
 17      5       25     1
 17      6       12     1
 17      7       29     8
 17      8       16     1
 17      9       3      1
 17      10      20     1
 17      11      7      8
 17      12      24     1
 17      13      11     8
 17      14      28     1
 17      15      15     1
 17      16      2      1
 17      17      19     8
 17      18      6      1
 17      19      23     8
 17      20      10     1
 17      21      27     1
 17      22      14     1
 17      23      1      8
 17      24      18     1
 17      25      5      1
 17      26      22     1
 17      27      9      1
 17      28      26     1
 17      29      13     8
 17      30      00     1
 17      30      30     1

# box 2 - next level
##z2     #x2     #z2    #c2
#17      30      30     1
#17      31      47     1
#17      32      34     1
#17      33      51     1
#17      34      38     1
#17      35      55     1
#17      36      42     1
#17      37      59     1
#17      38      46     1
#17      39      33     1
#17      40      50     1
#17      41      37     1
#17      42      54     1
#17      43      41     1
#17      44      58     1
#17      45      45     1
#17      46      32     1
#17      47      49     1
#17      48      36     1
#17      49      53     1
#17      50      40     1
#17      51      57     1
#17      52      44     1
#17      53      31     1
#17      54      48     1
#17      55      35     1
#17      56      52     1
#17      57      39     1
#17      58      56     1
#17      59      43     1
#17      60      30     1
#17      60      60     1


