## command to plot
##  splot "snapin17_a.txt" with points pointtype 7 pointsize 1 palette , "snapin17_b.txt" with
##  lines palette , "snapin17_c.txt" with lines palette , "snapin17_d.txt" with lines palette
##
##   all not prime = color 1
##
#z      #x      #y     #c
17      2       4      1
17      3       21     1
17      4       8      1
17      5       25     1
17      6       12     1
17      8       16     1
17      9       3      1
17      10      20     1
17      12      24     1
17      14      28     1
17      15      15     1
17      16      2      1
17      18      6      1
17      20      10     1
17      21      27     1
17      22      14     1
17      24      18     1
17      25      5      1
17      26      22     1
17      27      9      1
17      28      26     1
