#splot "snapin11.txt" with points pointtype 1 pointsize 1 palette , "snapin8.txt" with lines
##########################
##########################

# y  rows l to r  - make small __ bar

#z    #x  #y   #c
16.5  1   17   3
17.5  1   17   3


#z    #x  #y   #c
16.5  7   29   3
17.5  7   29   3


#z    #x  #y   #c
16.5  11   7   3
17.5  11   7   3


#z    #x  #y   #c
16.5  13  11   3
17.5  13  11   3


#z    #x  #y   #c
16.5  17  19   3
17.5  17  19   3


#z    #x  #y   #c
16.5  19  23   3
17.5  19  23   3


#z    #x  #y   #c
16.5  23   1   3
17.5  23   1   3


#z    #x  #y   #c
16.5  29  13   3
17.5  29  13   3



########## z lines bot to top  - make small bar | up and down
#x   #y  #z    #c
17   29  11.5  3
17   29  14.5  3


17   23   -.5  3
17   23   2.5  3


17   19  21.5  3
17   19  24.5  3


17   17  17.5  3
17   17  20.5  3


17   13   9.5  3
17   13  12.5  3


17   11   5.5  3
17   11   8.5  3


17   7   27.5  3
17   7   30.5  3


17   1   15.5  3
17   1   18.5  3


