## command to plot
##   all not prime = color 1
##
 #z      #x      #y     #c
 23      2       16     1
 23      3       9      1
 23      4       2      1
 23      5       25     1
 23      6       18     1
 23      8       4      1
 23      9       27     1
 23      10      20     1
 23      12      6      1
 23      14      22     1
 23      15      15     1
 23      16      8      1
 23      18      24     1
 23      20      10     1
 23      21      3      1
 23      22      26     1
 23      24      12     1
 23      25      5      1
 23      26      28     1
 23      27      21     1
 23      28      14     1
