## command to plot
##  splot "snapin13_a.txt" with points pointtype 7 pointsize 1 palette , "snapin13_b.txt" with
##  lines palette , "snapin13_c.txt" with lines palette , "snapin13_d.txt" with lines lw 3 palette
##
##   all not prime = color 1
##
#z      #x      #y     #c
13      2       26     1
13      3       9      1
13      4       22     1
13      5       5      1
13      6       18     1
13      8       14     1
13      9       27     1
13      10      10     1
13      12      6      1
13      14      2      1
13      15      15     1
13      16      28     1
13      18      24     1
13      20      20     1
13      21      3      1
13      22      16     1
13      24      12     1
13      25      25     1
13      26      8      1
13      27      21     1
13      28      4      1
 #z      #x      #y     #c
 17      2       4      1
 17      3       21     1
 17      4       8      1
 17      5       25     1
 17      6       12     1
 17      8       16     1
 17      9       3      1
 17      10      20     1
 17      12      24     1
 17      14      28     1
 17      15      15     1
 17      16      2      1
 17      18      6      1
 17      20      10     1
 17      21      27     1
 17      22      14     1
 17      24      18     1
 17      25      5      1
 17      26      22     1
 17      27      9      1
 17      28      26     1
