##
##    all possible prime = 8
##
##
 #z      #x      #y     #c
 1       11      11     8
 1       19      19     8
 #z      #x      #y     #c
 29      11      19     8
 29      19      11     8
 #z      #x      #y     #c
 7       11      17     8
 7       19      13     8
 #z      #x      #y     #c
 23      11      13     8
 23      19      17     8
 #z      #x      #y     #c
 11      11      1      8
 11      19      29     8
 #z      #x      #y     #c
 19      11      29     8
 19      19       1     8
 #z      #x      #y     #c
 13      11      23     8
 13      19      7      8
 #z      #x      #y     #c
 17      11      7      8
 17      19      23     8
