##
##    all possible prime = 8
##
##
 #z      #x      #y     #c
 1       13      13     8
 1       17      17     8
 #z      #x      #y     #c
 29      13      17     8
 29      17      13     8
 #z      #x      #y     #c
 7       13      1      8
 7       17      29     8
 #z      #x      #y     #c
 23      13      29     8
 23      17      1      8
 #z      #x      #y     #c
 11      13      23     8
 11      17      7      8
 #z      #x      #y     #c
 19      13      7      8
 19      17      23     8
 #z      #x      #y     #c
 13      13      19     8
 13      17      11     8
 #z      #x      #y     #c
 17      13      11     8
 17      17      19     8
