##########  lines to join *pairs
# make the shortest line the lowest color
#####   01 29
#x  #y  #z  #c
01  01  01  12
01  29  29  12


#x  #y  #z  #c
29  01  29  12
29  29  01  12


#####   7 23
#x  #y  #z  #c
07  01  07  12
07  29  23  12


#x  #y  #z  #c
23  01  23  12
23  29  07  12


#####   11 19
#x  #y  #z  #c
11  01  11  12
11  29  19  12


#x  #y  #z  #c
19  01  19  12
19  29  11  12


#####   13 17
#x  #y  #z  #c
13  01  13  12
13  29  17  12


#x  #y  #z  #c
17  01  17  12
17  29  13  12


