##########  lines to join *pairs
# make the shortest line the lowest color
#### 1 29
#x  #y  #z  #c
1   11  11  24
1   19  19  24


#x  #y  #z  #c
29  11  19  24
29  19  11  24


#### 7 23
#x  #y  #z  #c
7   11  17  24  #should be 24   was 6
7   19  13  24  #should be 24   was 6


#x  #y  #z  #c
23  11  13  24  #should be 24   was 6
23  19  17  24  #should be 24   was 6


##### 11 19
#x  #y  #z  #c
11  11   1  24
11  19  29  24


#x  #y  #z  #c
19  11  29  24
19  19   1  24


##### 13 17
#x  #y  #z  #c
13  11  23  24
13  19   7  24


#x  #y  #z  #c
17  11   7  24
17  19  23  24


##### 1 29
#x  #y  #z  #c
1   41  41  24
1   49  49  24


#x  #y  #z  #c
29  41  49  24
29  49  41  24


####    7 23
#x  #y  #z  #c
7   41  47  24
7   49  43  24


23  41  43  24
23  49  47  24


####    11 19
#x  #y  #z  #c
11  41  31  24
11  49  59  24


#x  #y  #z  #c
19  41  59  24
19  49  31  24


####    13 17
#x  #y  #z  #c
13  41  53  24
13  49  37  24


#x  #y  #z  #c
17  41  37  24
17  49  53  24


#####  1 29
#x  #y  #z  #c
1   71  71  24
1   79  79  24


#x  #y  #z  #c
29  71  79  24
29  79  71  24


####    7 23
#x  #y  #z  #c
7   71  77  24
7   79  73  24


#x  #y  #z  #c
23  71  73  24
23  79  77  24


####    11 19
#x  #y  #z  #c
11  71  61  24
11  79  89  24


#x  #y  #z  #c
19  71  89  24
19  79  61  24


####    13 17
#x  #y  #z  #c
13  71  83  24
13  79  67  24


#x  #y  #z  #c
17  71  67  24
17  79  83  24


