
#x  #y  #z  #c
01  31  31  36

01  37  37  48

01  41  41  56

01  43  43  24

01  47  47  24

01  49  49  56

01  53  53  48

01  59  59  36


07  31  37  36

07  37  49  48

07  41  47  56

07  43  31  24

07  47  59  24

07  49  43  56

07  53  41  48

07  59  53  36


11  31  41  36

11  37  47  48

11  41  31  56

11  43  53  24

11  47  37  24

11  49  59  56

11  53  43  48

11  59  49  36


13  31  43  36

13  37  31  48

13  41  53  56

13  43  49  24

13  47  41  24

13  49  37  56

13  53  59  48

13  59  47  36


17  31  47  36

17  37  59  48

17  41  37  56

17  43  41  24

17  47  49  24

17  49  53  56

17  53  31  48

17  59  43  36


19  31  49  36

19  37  43  48

19  41  59  56

19  43  37  24

19  47  53  24

19  49  31  56

19  53  47  48

19  59  41  36


23  31  53  36

23  37  41  48

23  41  43  56

23  43  59  24

23  47  31  24

23  49  47  56

23  53  49  48

23  59  37  36


29  31  59  36

29  37  53  48

29  41  49  56

29  43  47  24

29  47  43  24

29  49  41  56

29  53  37  48

29  59  31  36


