
#####  1 29
#x  #y  #z  #c
1   31  31  36
1   59  59  36

#x  #y  #z  #c
29  31  59  36
29  59  31  36

#####  7 23
#x  #y  #z  #c
7   31  37  36
7   59  53  36

#x  #y  #z  #c
23  31  53  36
23  59  37  36

#####  11 19
#x  #y  #z  #c
11  31  41  36
11  59  49  36

#x  #y  #z  #c
19  31  49  36
19  59  41  36

#####  13 17
#x  #y  #z  #c
13  31  43  36
13  59  47  36

#x  #y  #z  #c
17  31  47  36
17  59  43  36


#####  1 29
#x  #y  #z  #c
1   37  37  48
1   53  53  48

#x  #y  #z  #c
29  37  53  48
29  53  37  48

####7 23
#x  #y  #z  #c
7   37  49  48
7   53  41  48

23  37  41  48
23  53  49  48

####11 19
#x  #y  #z  #c
11  37  47  48
11  53  43  48

#x  #y  #z  #c
19  37  43  48
19  53  47  48

####13 17
#x  #y  #z  #c
13  37  31  48
13  53  59  48

#x  #y  #z  #c
17  37  59  48
17  53  31  48


##### 1 29
#x  #y  #z  #c
1   41  41  56
1   49  49  56

#x  #y  #z  #c
29  41  49  56
29  49  41  56

####    7 23
#x  #y  #z  #c
7   41  47  56
7   49  43  56

23  41  43  56
23  49  47  56

####  11 19
#x  #y  #z  #c
11  41  31  56
11  49  59  56

#x  #y  #z  #c
19  41  59  56
19  49  31  56

####  13 17
#x  #y  #z  #c
13  41  53  56
13  49  37  56

#x  #y  #z  #c
17  41  37  56
17  49  53  56


####  1 29
#x  #y  #z  #c
1   43  43  24
1   47  47  24

#x  #y  #z  #c
29  43  47  24
29  47  43  24

####  7 23
#x  #y  #z  #c
7   43  31  24
7   47  59  24

23  47  31  24
23  43  59  24

#### 11 19
#x  #y  #z  #c
11  43  53  24
11  47  37  24

#x  #y  #z  #c
19  43  37  24
19  47  53  24

#### 13 17
#x  #y  #z  #c
13  43  49  24
13  47  41  24

#x  #y  #z  #c
17  43  41  24
17  47  49  24



