 #z      #x      #y      #c
 1       0       0       1
 1       1       1       1
 1       2       2       1
 1       3       3       1
 1       4       4       1
 1       5       5       1
 1       6       6       1
 1       7       7       1
 1       8       8       1
 1       9       9       1
 1       10      10      1
 1       11      11      1
 1       12      12      1
 1       13      13      1
 1       14      14      1
 1       15      15      1
 1       16      16      1
 1       17      17      1
 1       18      18      1
 1       19      19      1
 1       20      20      1
 1       21      21      1
 1       22      22      1
 1       23      23      1
 1       24      24      1
 1       25      25      1
 1       26      26      1
 1       27      27      1
 1       28      28      1
 1       29      29      1
 1       30      00      1
 1       30      30      1
 #z      #x      #y      #c
 29      0       0       1
 29      1       29      1
 29      2       28      1
 29      3       27      1
 29      4       26      1
 29      5       25      1
 29      6       24      1
 29      7       23      1
 29      8       22      1
 29      9       21      1
 29      10      20      1
 29      11      19      1
 29      12      18      1
 29      13      17      1
 29      14      16      1
 29      15      15      1
 29      16      14      1
 29      17      13      1
 29      18      12      1
 29      19      11      1
 29      20      10      1
 29      21      9       1
 29      22      8       1
 29      23      7       1
 29      24      6       1
 29      25      5       1
 29      26      4       1
 29      27      3       1
 29      28      2       1
 29      29      1       1
 29      30      0       1
 29      30      00      1
 29      30      30      1




 #z      #x      #y      #c
 7       0       0       7
 7       1       7       7
 7       2       14      7
 7       3       21      7
 7       4       28      7
 7       5       5       7
 7       6       12      7
 7       7       19      7
 7       8       26      7
 7       9       3       7
 7       10      10      7
 7       11      17      7
 7       12      24      7
 7       13      1       7
 7       14      8       7
 7       15      15      7
 7       16      22      7
 7       17      29      7
 7       18      6       7
 7       19      13      7
 7       20      20      7
 7       21      27      7
 7       22      4       7
 7       23      11      7
 7       24      18      7
 7       25      25      7
 7       26      2       7
 7       27      9       7
 7       28      16      7
 7       29      23      7
 7       30      00      7
 7       30      30      7
 #z      #x      #y      #c
 23      0       0       7
 23      1       23      7
 23      2       16      7
 23      3       9       7
 23      4       2       7
 23      5       25      7
 23      6       18      7
 23      7       11      7
 23      8       4       7
 23      9       27      7
 23      10      20      7
 23      11      13      7
 23      12      6       7
 23      13      29      7
 23      14      22      7
 23      15      15      7
 23      16      8       7
 23      17      1       7
 23      18      24      7
 23      19      17      7
 23      20      10      7
 23      21      3       7
 23      22      26      7
 23      23      19      7
 23      24      12      7
 23      25      5       7
 23      26      28      7
 23      27      21      7
 23      28      14      7
 23      29      7       7
 23      30      00      7
 23      30      30      7




 #z      #x      #y      #c
 11      0       0       11
 11      1       11      11
 11      2       22      11
 11      3       3       11
 11      4       14      11
 11      5       25      11
 11      6       6       11
 11      7       17      11
 11      8       28      11
 11      9       9       11
 11      10      20      11
 11      11      1       11
 11      12      12      11
 11      13      23      11
 11      14      4       11
 11      15      15      11
 11      16      26      11
 11      17      7       11
 11      18      18      11
 11      19      29      11
 11      20      10      11
 11      21      21      11
 11      22      2       11
 11      23      13      11
 11      24      24      11
 11      25      5       11
 11      26      16      11
 11      27      27      11
 11      28      8       11
 11      29      19      11
 11      30      0       11
 11      30      00      11
 11      30      30      11
 #z      #x      #y      #c
 19      0       0       11
 19      1       19      11
 19      2       8       11
 19      3       27      11
 19      4       16      11
 19      5       5       11
 19      6       24      11
 19      7       13      11
 19      8       2       11
 19      9       21      11
 19      10      10      11
 19      11      29      11
 19      12      18      11
 19      13      7       11
 19      14      26      11
 19      15      15      11
 19      16      4       11
 19      17      23      11
 19      18      12      11
 19      19      1       11
 19      20      20      11
 19      21      9       11
 19      22      28      11
 19      23      17      11
 19      24      6       11
 19      25      25      11
 19      26      14      11
 19      27      3       11
 19      28      22      11
 19      29      11      11
 19      30      00      11
 19      30      30      11





 #z      #x      #y      #c
 13      0       0       13
 13      1       13      13
 13      2       26      13
 13      3       9       13
 13      4       22      13
 13      5       5       13
 13      6       18      13
 13      7       1       13
 13      8       14      13
 13      9       27      13
 13      10      10      13
 13      11      23      13
 13      12      6       13
 13      13      19      13
 13      14      2       13
 13      15      15      13
 13      16      28      13
 13      17      11      13
 13      18      24      13
 13      19      7       13
 13      20      20      13
 13      21      3       13
 13      22      16      13
 13      23      29      13
 13      24      12      13
 13      25      25      13
 13      26      8       13
 13      27      21      13
 13      28      4       13
 13      29      17      13
 13      30      00      13
 13      30      30      13
 #z      #x      #y      #c
 17      0       0       13
 17      1       17      13
 17      2       4       13
 17      3       21      13
 17      4       8       13
 17      5       25      13
 17      6       12      13
 17      7       29      13
 17      8       16      13
 17      9       3       13
 17      10      20      13
 17      11      7       13
 17      12      24      13
 17      13      11      13
 17      14      28      13
 17      15      15      13
 17      16      2       13
 17      17      19      13
 17      18      6       13
 17      19      23      13
 17      20      10      13
 17      21      27      13
 17      22      14      13
 17      23      1       13
 17      24      18      13
 17      25      5       13
 17      26      22      13
 17      27      9       13
 17      28      26      13
 17      29      13      13
 17      30      00      13
 17      30      30      13




 #z      #x      #y      #c
 0       0       0       30
 0       1       0       30
 0       2       0       30
 0       3       0       30
 0       4       0       30
 0       5       0       30
 0       6       0       30
 0       7       0       30
 0       8       0       30
 0       9       0       30
 0       10      0       30
 0       11      0       30
 0       12      0       30
 0       13      0       30
 0       14      0       30
 0       15      0       30
 0       16      0       30
 0       17      0       30
 0       18      0       30
 0       19      0       30
 0       20      0       30
 0       21      0       30
 0       22      0       30
 0       23      0       30
 0       24      0       30
 0       25      0       30
 0       26      0       30
 0       27      0       30
 0       28      0       30
 0       29      0       30
 0       30      0       30
 #z      #x      #y      #c
 2       0       0       30
 2       1       2       30
 2       2       4       30
 2       3       6       30
 2       4       8       30
 2       5       10      30
 2       6       12      30
 2       7       14      30
 2       8       16      30
 2       9       18      30
 2       10      20      30
 2       11      22      30
 2       12      24      30
 2       13      26      30
 2       14      28      30
 2       15      0       30
 2       15      30      30
 2       16      2       30
 2       17      4       30
 2       18      6       30
 2       19      8       30
 2       20      10      30
 2       21      12      30
 2       22      14      30
 2       23      16      30
 2       24      18      30
 2       25      20      30
 2       26      22      30
 2       27      24      30
 2       28      26      30
 2       29      28      30
 2       30      00      30
 2       30      30      30
 #z      #x      #y      #c
 3       0       0       30
 3       1       3       30
 3       2       6       30
 3       3       9       30
 3       4       12      30
 3       5       15      30
 3       6       18      30
 3       7       21      30
 3       8       24      30
 3       9       27      30
 3       10      0       30
 3       10      30      30
 3       11      3       30
 3       12      6       30
 3       13      9       30
 3       14      12      30
 3       15      15      30
 3       16      18      30
 3       17      21      30
 3       18      24      30
 3       19      27      30
 3       20      0       30
 3       20      30      30
 3       21      3       30
 3       22      6       30
 3       23      9       30
 3       24      12      30
 3       25      15      30
 3       26      18      30
 3       27      21      30
 3       28      24      30
 3       29      27      30
 3       30      0       30
 3       30      00      30
 3       30      30      30
 #z      #x      #y      #c
 4       0       0       30
 4       1       4       30
 4       2       8       30
 4       3       12      30
 4       4       16      30
 4       5       20      30
 4       6       24      30
 4       7       28      30
 4       8       2       30
 4       9       6       30
 4       10      10      30
 4       11      14      30
 4       12      18      30
 4       13      22      30
 4       14      26      30
 4       15      0       30
 4       15      30      30
 4       16      4       30
 4       17      8       30
 4       18      12      30
 4       19      16      30
 4       20      20      30
 4       21      24      30
 4       22      28      30
 4       23      2       30
 4       24      6       30
 4       25      10      30
 4       26      14      30
 4       27      18      30
 4       28      22      30
