#z      #x      #y      #c
 1       1       1       1
 1       2       2       1
 1       3       3       1
 1       4       4       1
 1       5       5       1
 1       6       6       1
 1       7       7       1
 1       8       8       1
 1       9       9       1
 1       10      10      1
 1       11      11      1
 1       12      12      1
 1       13      13      1
 1       14      14      1
 1       15      15      1
 1       16      16      1
 1       17      17      1
 1       18      18      1
 1       19      19      1
 1       20      20      1
 1       21      21      1
 1       22      22      1
 1       23      23      1
 1       24      24      1
 1       25      25      1
 1       26      26      1
 1       27      27      1
 1       28      28      1
 1       29      29      1

 #z      #x      #y      #c
 29      1       29      1
 29      2       28      1
 29      3       27      1
 29      4       26      1
 29      5       25      1
 29      6       24      1
 29      7       23      1
 29      8       22      1
 29      9       21      1
 29      10      20      1
 29      11      19      1
 29      12      18      1
 29      13      17      1
 29      14      16      1
 29      15      15      1
 29      16      14      1
 29      17      13      1
 29      18      12      1
 29      19      11      1
 29      20      10      1
 29      21      9       1
 29      22      8       1
 29      23      7       1
 29      24      6       1
 29      25      5       1
 29      26      4       1
 29      27      3       1
 29      28      2       1
 29      29      1       1

