 #z      #x      #y      #c
 7       1       7       7
 7       2       14      7
 7       3       21      7
 7       4       28      7
 7       5       5       7
 7       6       12      7
 7       7       19      7
 7       8       26      7
 7       9       3       7
 7       10      10      7
 7       11      17      7
 7       12      24      7
 7       13      1       7
 7       14      8       7
 7       15      15      7
 7       16      22      7
 7       17      29      7
 7       18      6       7
 7       19      13      7
 7       20      20      7
 7       21      27      7
 7       22      4       7
 7       23      11      7
 7       24      18      7
 7       25      25      7
 7       26      2       7
 7       27      9       7
 7       28      16      7
 7       29      23      7
 #z      #x      #y      #c
 23      1       23      7
 23      2       16      7
 23      3       9       7
 23      4       2       7
 23      5       25      7
 23      6       18      7
 23      7       11      7
 23      8       4       7
 23      9       27      7
 23      10      20      7
 23      11      13      7
 23      12      6       7
 23      13      29      7
 23      14      22      7
 23      15      15      7
 23      16      8       7
 23      17      1       7
 23      18      24      7
 23      19      17      7
 23      20      10      7
 23      21      3       7
 23      22      26      7
 23      23      19      7
 23      24      12      7
 23      25      5       7
 23      26      28      7
 23      27      21      7
 23      28      14      7
 23      29      7       7
