#x      #y      #z      #c
01      001     001     01
01      031     031     01
01      061     061     01
01      091     091     01
01      121     121     01
01      151     151     01
01      181     181     01
01      211     211     01
01      241     241     01
01      271     271     01
07      007     019     07
07      037     049     07
07      067     079     07
07      097     109     07
07      127     139     07
07      157     169     07
07      187     199     07
07      217     229     07
07      247     259     07
07      277     289     07
11      011     001     11
11      041     031     11
11      071     061     11
11      101     091     11
11      131     121     11
11      161     151     11
11      191     181     11
11      221     211     11
11      251     241     11
11      281     271     11
13      013     019     29
13      043     049     29
13      073     079     29
13      103     109     29
13      133     139     29
13      163     169     29
13      193     199     29
13      223     229     29
13      253     259     29
13      283     289     29
17      017     019     29
17      047     049     29
17      077     079     29
17      107     109     29
17      137     139     29
17      167     169     29
17      197     199     29
17      227     229     29
17      257     259     29
17      287     289     29
19      019     001     11
19      049     031     11
19      079     061     11
19      109     091     11
19      139     121     11
19      169     151     11
19      199     181     11
19      229     211     11
19      259     241     11
19      289     271     11
23      023     019     07
23      059     037     07
23      083     079     07
23      113     109     07
23      143     139     07
23      173     169     07
23      203     199     07
23      233     229     07
23      263     259     07
23      293     289     07
29      029     001     01
29      059     031     01
29      089     061     01
29      109     101     01
29      139     131     01
29      169     161     01
29      199     191     01
29      229     221     01
29      259     251     01
29      289     281     01
