#x      #y      #z
01      1       0
01      31      1
01      61      2
01      151     5
01      181     6
01      211     7
01      241     8
01      271     9
01      331     11
07      7       0
07      37      1
07      67      2
07      97      3
07      127     4
07      157     5
07      277     9
07      307     10
07      337     11
07      367     12
07      397     13
11      11      0
11      41      1
11      71      2
11      101     3
11      131     4
11      191     6
11      251     8
11      281     9
11      311     10
11      401     13
13      13      0
13      43      1
13      73      2
13      103     3
13      163     5
13      193     6
13      223     7
13      283     9
13      313     10
13      373     12
17      17      0
17      47      1
17      107     3
17      137     4
17      167     5
17      197     6
17      227     7
17      257     8
17      317     10
17      347     11
19      19      0
19      79      2
19      109     3
19      139     4
19      199     6
19      229     7
19      349     11
19      379     12
19      409     13
23      23      0
23      53      1
23      83      2
23      113     3
23      173     5
23      233     7
23      263     8
23      293     9
23      353     11
23      383     12
29      29      0
29      59      1
29      89      2
29      149     4
29      179     5
29      239     7
29      269     8
29      359     11
29      389     12
29      419     13
