#x      #y      0#z
01      000     001
01      030     031
01      060     061
01      150     151
01      180     181
01      210     211
01      240     241
01      270     271
01      330     331
07      000     007
07      030     037
07      060     067
07      090     097
07      120     127
07      150     157
07      270     277
07      300     307
07      330     337
07      360     367
07      390     397
11      000     011
11      030     041
11      060     071
11      090     101
11      120     131
11      180     191
11      240     251
11      270     281
11      300     311
11      390     401
13      000     013
13      030     043
13      060     073
13      090     103
13      150     163
13      180     193
13      210     223
13      270     283
13      300     313
13      360     373
17      000     017
17      030     047
17      090     107
17      120     137
17      150     167
17      180     197
17      210     227
17      240     257
17      300     317
17      330     347
19      000     019
19      060     079
19      090     109
19      120     139
19      180     199
19      210     229
19      330     349
19      360     379
19      390     409
23      000     023
23      030     053
23      060     083
23      090     113
23      150     173
23      210     233
23      240     263
23      270     293
23      330     353
23      360     383
29      000     029
29      030     059
29      060     089
29      120     149
29      150     179
29      210     239
29      240     269
29      330     359
29      360     389
29      390     419
