#z      #x      #y     #c
11      0       0      1
11      1       11     1
11      2       22     1
11      3       3      1
11      4       14     1
11      5       25     1
11      6       6      1
11      7       17     1
11      8       28     1
11      9       9      1
11      10      20     1
11      11      1      1
11      12      12     1
11      13      23     1
11      14      4      1
11      15      15     1
11      16      26     1
11      17      7      1
11      18      18     1
11      19      29     1
11      20      10     1
11      21      21     1
11      22      2      1
11      23      13     1
11      24      24     1
11      25      5      1
11      26      16     1
11      27      27     1
11      28      8      1
11      29      19     1
11      30      0      1
11      30      30     1


#z      #x      #y     #c
19      0       0      1
19      1       19     1
19      2       8      1
19      3       27     1
19      4       16     1
19      5       5      1
19      6       24     1
19      7       13     1
19      8       2      1
19      9       21     1
19      10      10     1
19      11      29     1
19      12      18     1
19      13      7      1
19      14      26     1
19      15      15     1
19      16      4      1
19      17      23     1
19      18      12     1
19      19      1      1
19      20      20     1
19      21      9      1
19      22      28     1
19      23      17     1
19      24      6      1
19      25      25     1
19      26      14     1
19      27      3      1
19      28      22     1
19      29      11     1
19      30      00     1
19      30      30     1


#z2     #x2     #z2    #c2
11      30      30     1
11      31      41     1
11      32      52     1
11      33      33     1
11      34      44     1
11      35      55     1
11      36      36     1
11      37      47     1
11      38      58     1
11      39      39     1
11      40      50     1
11      41      31     1
11      42      42     1
11      43      53     1
11      44      34     1
11      45      45     1
11      46      56     1
11      47      37     1
11      48      48     1
11      49      59     1
11      50      40     1
11      51      51     1
11      52      32     1
11      53      43     1
11      54      54     1
11      55      35     1
11      56      46     1
11      57      57     1
11      58      38     1
11      59      49     1
11      60      30     1
11      60      60     1


#z2     #x2     #z2    #c2
19      30      30     1
19      31      49     1
19      32      38     1
19      33      57     1
19      34      46     1
19      35      35     1
19      36      54     1
19      37      43     1
19      38      32     1
19      39      51     1
19      40      40     1
19      41      59     1
19      42      48     1
19      43      37     1
19      44      56     1
19      45      45     1
19      46      34     1
19      47      53     1
19      48      42     1
19      49      31     1
19      50      50     1
19      51      39     1
19      52      58     1
19      53      47     1
19      54      36     1
19      55      55     1
19      56      44     1
19      57      33     1
19      58      52     1
19      59      41     1
19      60      30     1
19      60      60     1
