##
##    all possible prime = 8
##
##
 #z      #x      #y     #c
1       1       1      8
1       7       7      8
1       11      11     8
1       13      13     8
1       17      17     8
1       19      19     8
1       23      23     8
1       29      29     8
 #z      #x      #y     #c
29      1       29     8
29      7       23     8
29      11      19     8
29      13      17     8
29      17      13     8
29      19      11     8
29      23      7      8
29      28      2      8
##    all possible prime = 8
##
##
 #z      #x      #y     #c
 7       1       7      8
 7       7       19     8
 7       11      17     8
 7       13      1      8
 7       17      29     8
 7       19      13     8
 7       23      11     8
 7       29      23     8
 #z      #x      #y     #c
 23      1       23     8
 23      7       11     8
 23      11      13     8
 23      13      29     8
 23      17      1      8
 23      19      17     8
 23      23      19     8
 23      29      7      8
##    all possible prime = 8
##
##
 #z      #x      #y     #c
11      1       11     8
11      7       17     8
11      11      1      8
11      13      23     8
11      17      7      8
11      19      29     8
11      23      13     8
11      29      19     8
 #z      #x      #y     #c
19      1       19     8
19      7       13     8
19      11      29     8
19      13      7      8
19      17      23     8
19      19       1     8
19      23      17     8
19      29      11     8
##    all possible prime = 8
##
##
 #z      #x      #y     #c
13      1       13     rgb "green"
13      7       1      rgb "green"
13      11      23     rgb "green"
13      13      19     rgb "green"
13      17      11     rgb "green"
13      19      7      rgb "green"
13      23      29     rgb "green"
13      29      17     rgb "green"
 #z      #x      #y     #c
 17      1       17     rgb "green"
 17      7       29     rgb "green"
 17      11      7      rgb "green"
 17      13      11     rgb "green"
 17      17      19     rgb "green"
 17      19      23     rgb "green"
 17      23      1      rgb "green"
 17      29      13     rgb "green"
