#z      #x      #y     #c
29      0       0      1
29      1       29     1
29      2       28     1
29      3       27     1
29      4       26     1
29      5       25     1
29      6       24     1
29      7       23     1
29      8       22     1
29      9       21     1
29      10      20     1
29      11      19     1
29      12      18     1
29      13      17     1
29      14      16     1
29      15      15     1
29      16      14     1
29      17      13     1
29      18      12     1
29      19      11     1
29      20      10     1
29      21      9      1
29      22      8      1
29      23      7      1
29      24      6      1
29      25      5      1
29      26      4      1
29      27      3      1
29      28      2      1
29      29      1      1
29      30      0      1


#z2      #x2     #z2   000c2
29      30      30     1
29      31      59     1
29      32      58     1
29      33      57     1
29      34      56     1
29      35      55     1
29      36      54     1
29      37      53     1
29      38      52     1
29      39      51     1
29      40      50     1
29      41      49     1
29      42      48     1
29      43      47     1
29      44      46     1
29      45      45     1
29      46      44     1
29      47      43     1
29      48      42     1
29      49      41     1
29      50      40     1
29      51      39     1
29      52      38     1
29      53      37     1
29      54      36     1
29      55      35     1
29      56      34     1
29      57      33     1
29      58      32     1
29      59      31     1
29      60      30     1
