 #z      #x      #y     #c
 7       0       0      1
 7       1       7      1
 7       2       14     1
 7       3       21     1
 7       4       28     1
 7       5       5      1
 7       6       12     1
 7       7       19     1
 7       8       26     1
 7       9       3      1
 7       10      10     1
 7       11      17     1
 7       12      24     1
 7       13      1      1
 7       14      8      1
 7       15      15     1
 7       16      22     1
 7       17      29     1
 7       18      6      1
 7       19      13     1
 7       20      20     1
 7       21      27     1
 7       22      4      1
 7       23      11     1
 7       24      18     1
 7       25      25     1
 7       26      2      1
 7       27      9      1
 7       28      16     1
 7       29      23     1
 7       30      30     1
 7       30      30     1


##z      #x      #y     #c
#7       31      37     1
#7       32      44     1
#7       33      51     1
#7       34      58     1
#7       35      35     1
#7       36      42     1
#7       37      49     1
#7       38      56     1
#7       39      33     1
#7       40      40     1
#7       41      47     1
#7       42      54     1
#7       43      31     1
#7       44      38     1
#7       45      45     1
#7       46      52     1
#7       47      59     1
#7       48      36     1
#7       49      43     1
#7       50      50     1
#7       51      57     1
#7       52      34     1
#7       53      41     1
#7       54      48     1
#7       55      55     1
#7       56      32     1
#7       57      39     1
#7       58      46     1
#7       59      53     1
#7       60      60     1


