
  #p1            #n1          #risedata1        #color1
  0000000001     0000000001   0000000000        0000000008
  0000000007     0000000001   0000000000        0000000007
  0000000011     0000000001   0000000000        0000000006
  0000000013     0000000001   0000000000        0000000005
  0000000017     0000000001   0000000000        0000000004
  0000000019     0000000001   0000000000        0000000003
  0000000023     0000000001   0000000000        0000000002
  0000000029     0000000001   0000000000        0000000001


  #p7            #n7          #risedata7        #color7
  0000000007     0000000007   0000000000        0000000008
  0000000037     0000000007   0000000002        0000000007
  0000000049     0000000007   0000000003        0000000006
  0000000067     0000000007   0000000008        0000000005
  0000000077     0000000007   0000000010        0000000004
  0000000091     0000000007   0000000018        0000000003
  0000000097     0000000007   0000000021        0000000002
  0000000119     0000000007   0000000024        0000000001


  #p11           #n11         #risedata11       #color11
  0000000011     0000000011   0000000000        0000000008
  0000000041     0000000011   0000000002        0000000007
  0000000071     0000000011   0000000006        0000000006
  0000000077     0000000011   0000000008        0000000005
  0000000101     0000000011   0000000015        0000000004
  0000000121     0000000011   0000000024        0000000003
  0000000131     0000000011   0000000028        0000000002
  0000000143     0000000011   0000000032        0000000001


  #p13           #n13         #risedata13       #color13
  0000000013     0000000013   0000000000        0000000008
  0000000043     0000000013   0000000002        0000000007
  0000000073     0000000013   0000000006        0000000006
  0000000091     0000000013   0000000012        0000000005
  0000000103     0000000013   0000000015        0000000004
  0000000133     0000000013   0000000024        0000000003
  0000000143     0000000013   0000000028        0000000002
  0000000163     0000000013   0000000040        0000000001


  #p17           #n17         #risedata17       #color17
  0000000017     0000000017   0000000000        0000000008
  0000000047     0000000017   0000000002        0000000007
  0000000077     0000000017   0000000006        0000000006
  0000000107     0000000017   0000000012        0000000005
  0000000119     0000000017   0000000015        0000000004
  0000000137     0000000017   0000000024        0000000003
  0000000167     0000000017   0000000035        0000000002
  0000000187     0000000017   0000000048        0000000001


  #p19           #n19         #risedata19       #color19
  0000000019     0000000019   0000000000        0000000008
  0000000049     0000000019   0000000002        0000000007
  0000000079     0000000019   0000000006        0000000006
  0000000109     0000000019   0000000012        0000000005
  0000000133     0000000019   0000000020        0000000004
  0000000139     0000000019   0000000024        0000000003
  0000000169     0000000019   0000000035        0000000002
  0000000199     0000000019   0000000048        0000000001





  #p23           #n23         #risedata23       #color23
  0000000023     0000000023   0000000000        0000000008
  0000000053     0000000023   0000000002        0000000007
  0000000083     0000000023   0000000006        0000000006
  0000000113     0000000023   0000000012        0000000005
  0000000143     0000000023   0000000020        0000000004
  0000000161     0000000023   0000000030        0000000003
  0000000173     0000000023   0000000035        0000000002
  0000000203     0000000023   0000000048        0000000001


  #p29           #n29         #risedata29       #color29
  0000000029     0000000029   0000000000        0000000008
  0000000059     0000000029   0000000002        0000000007
  0000000089     0000000029   0000000006        0000000006
  0000000119     0000000029   0000000012        0000000005
  0000000149     0000000029   0000000020        0000000004
  0000000179     0000000029   0000000030        0000000003
  0000000203     0000000029   0000000042        0000000002
  0000000209     0000000029   0000000048        0000000001


