 #p1              #n1          #risedata1       #color1
 0000000001       0000000001   0000000000       0000000001
 0000000007       0000000001   0000000000       0000000002
 0000000011       0000000001   0000000010       0000000003
 0000000013       0000000001   0000000010       0000000004
 0000000017       0000000001   0000000010       0000000005
 0000000019       0000000001   0000000010       0000000006
 0000000023       0000000001   0000000020       0000000007
 0000000029       0000000001   0000000020       0000000008
 0000000031       0000000001   0000000031       0000000001
 0000000061       0000000001   0000000034       0000000002
 0000000091       0000000001   0000000039       0000000003
 0000000121       0000000001   0000000046       0000000004
 0000000151       0000000001   0000000055       0000000005
 0000000181       0000000001   0000000066       0000000006
 0000000211       0000000001   0000000079       0000000007
 0000000217       0000000001   0000000086       0000000008
 0000000241       0000000001   0000000098       0000000001
 0000000271       0000000001   0000000108       0000000002
 0000000301       0000000001   0000000120       0000000003
 0000000331       0000000001   0000000134       0000000004
 0000000341       0000000001   0000000145       0000000005
 0000000361       0000000001   0000000162       0000000006
 0000000391       0000000001   0000000181       0000000007
 0000000403       0000000001   0000000194       0000000008
 #0000000421       0000000001   0000000224       0000000001
 #0000000427       0000000001   0000000238       0000000002
 #0000000451       0000000001   0000000255       0000000003
 #0000000481       0000000001   0000000274       0000000004
 #0000000511       0000000001   0000000295       0000000005
 #0000000527       0000000001   0000000312       0000000006
 #0000000541       0000000001   0000000336       0000000007
 #0000000571       0000000001   0000000362       0000000008
 #0000000589       0000000001   0000000379       0000000001
 #0000000601       0000000001   0000000400       0000000002
 #0000000631       0000000001   0000000423       0000000003
 #0000000637       0000000001   0000000444       0000000004
 #0000000661       0000000001   0000000470       0000000005
 #0000000671       0000000001   0000000492       0000000006
 #0000000691       0000000001   0000000521       0000000007
 #0000000713       0000000001   0000000544       0000000008





 #p7              #n7          #risedata7       #color7
 0000000007       0000000007   0000000000       0000000001
 0000000037       0000000007   0000000002       0000000002
 0000000049       0000000007   0000000003       0000000003
 0000000067       0000000007   0000000008       0000000004
 0000000077       0000000007   0000000010       0000000005
 0000000091       0000000007   0000000018       0000000006
 0000000097       0000000007   0000000021       0000000007
 0000000119       0000000007   0000000024       0000000008
 0000000127       0000000007   0000000034       0000000001
 0000000133       0000000007   0000000038       0000000002
 0000000157       0000000007   0000000045       0000000003
 0000000161       0000000007   0000000050       0000000004
 0000000187       0000000007   0000000060       0000000005
 0000000203       0000000007   0000000066       0000000006
 0000000217       0000000007   0000000079       0000000007
 0000000247       0000000007   0000000094       0000000008
 0000000259       0000000007   0000000098       0000000001
 0000000277       0000000007   0000000108       0000000002
 0000000307       0000000007   0000000120       0000000003
 0000000337       0000000007   0000000134       0000000004
 0000000367       0000000007   0000000150       0000000005
 0000000397       0000000007   0000000168       0000000006
 0000000407       0000000007   0000000181       0000000007
 0000000427       0000000007   0000000202       0000000008


 #p11             #n11         #risedata11      #color11
 0000000011       0000000011   0000000000       0000000001
 0000000041       0000000011   0000000002       0000000002
 0000000071       0000000011   0000000006       0000000003
 0000000077       0000000011   0000000008       0000000004
 0000000101       0000000011   0000000015       0000000005
 0000000121       0000000011   0000000024       0000000006
 0000000131       0000000011   0000000028       0000000007
 0000000143       0000000011   0000000032       0000000008
 0000000161       0000000011   0000000035       0000000001
 0000000187       0000000011   0000000042       0000000002
 0000000191       0000000011   0000000048       0000000003
 0000000209       0000000011   0000000054       0000000004
 0000000221       0000000011   0000000065       0000000005
 0000000251       0000000011   0000000078       0000000006
 0000000253       0000000011   0000000086       0000000007
 0000000281       0000000011   0000000102       0000000008
 0000000287       0000000011   0000000129       0000000001
 0000000311       0000000011   0000000140       0000000002
 0000000319       0000000011   0000000150       0000000003
 0000000341       0000000011   0000000164       0000000004
 0000000371       0000000011   0000000180       0000000005
 0000000401       0000000011   0000000198       0000000006
 0000000431       0000000011   0000000218       0000000007
 0000000451       0000000011   0000000240       0000000008


 #p13             #n13         #risedata13      #color13
 0000000013       0000000013   0000000000       0000000001
 0000000043       0000000013   0000000002       0000000002
 0000000073       0000000013   0000000006       0000000003
 0000000091       0000000013   0000000012       0000000004
 0000000103       0000000013   0000000015       0000000005
 0000000133       0000000013   0000000024       0000000006
 0000000143       0000000013   0000000028       0000000007
 0000000163       0000000013   0000000040       0000000008
 0000000169       0000000013   0000000065       0000000001
 0000000193       0000000013   0000000072       0000000002
 0000000221       0000000013   0000000081       0000000003
 0000000223       0000000013   0000000088       0000000004
 0000000247       0000000013   0000000100       0000000005
 0000000253       0000000013   0000000108       0000000006
 0000000283       0000000013   0000000123       0000000007
 0000000299       0000000013   0000000132       0000000008
 0000000301       0000000013   0000000160       0000000001
 0000000313       0000000013   0000000170       0000000002
 0000000343       0000000013   0000000183       0000000003
 0000000373       0000000013   0000000198       0000000004
 0000000377       0000000013   0000000210       0000000005
 0000000403       0000000013   0000000228       0000000006
 0000000433       0000000013   0000000248       0000000007
 0000000463       0000000013   0000000270       0000000008


 #p17             #n17         #risedata17      #color17
 0000000017       0000000017   0000000000       0000000001
 0000000047       0000000017   0000000002       0000000002
 0000000077       0000000017   0000000006       0000000003
 0000000107       0000000017   0000000012       0000000004
 0000000119       0000000017   0000000015       0000000005
 0000000137       0000000017   0000000024       0000000006
 0000000167       0000000017   0000000035       0000000007
 0000000187       0000000017   0000000048       0000000008
 0000000197       0000000017   0000000066       0000000001
