
#p01    #fam01  #n01    #color01
1       1       0       1
7       1       0       2
11      1       0       3
13      1       0       4
17      1       0       5
19      1       0       6
23      1       0       7
29      1       0       8
31      1       1       1
61      1       2       2
91      1       3       3
121     1       4       4
151     1       5       5
181     1       6       6
211     1       7       7
217     1       7       8
241     1       8       1
271     1       9       2
301     1       10      3
331     1       11      4
341     1       11      5
361     1       12      6
391     1       13      7
403     1       13      8
421     1       14      1
427     1       14      2
451     1       15      3
481     1       16      4
511     1       17      5
527     1       17      6
541     1       18      7
571     1       19      8
589     1       19      1
601     1       20      2
631     1       21      3
637     1       21      4
661     1       22      5
671     1       22      6
691     1       23      7
713     1       23      8


#p07    #fam07  #n07    #color07
7       7       0       1
37      7       1       2
49      7       1       3
67      7       2       4
77      7       2       5
91      7       3       6
97      7       3       7
119     7       3       8
127     7       4       1
133     7       4       2
157     7       5       3
161     7       5       4
187     7       6       5
203     7       6       6
217     7       7       7
247     7       8       8
259     7       8       1
277     7       9       2
307     7       10      3
337     7       11      4
367     7       12      5
397     7       13      6
407     7       13      7
427     7       14      8
457     7       15      1
469     7       15      2
481     7       16      3
487     7       16      4
517     7       17      5
547     7       18      6
577     7       19      7
607     7       20      8
629     7       20      1
637     7       21      2
667     7       22      3
679     7       22      4
697     7       23      5
703     7       23      6
727     7       24      7
737     7       24      8


#p11    #fam11  #n11    #color11
11      11      0       1
41      11      1       2
71      11      2       3
77      11      2       4
101     11      3       5
121     11      4       6
131     11      4       7
143     11      4       8
161     11      5       1
187     11      6       2
191     11      6       3
209     11      6       4
221     11      7       5
251     11      8       6
253     11      8       7
281     11      9       8
287     11      9       1
311     11      10      2
319     11      10      3
341     11      11      4
371     11      12      5
401     11      13      6
431     11      14      7
451     11      15      8
461     11      15      1
491     11      16      2
497     11      16      3
521     11      17      4
533     11      17      5
551     11      18      6
581     11      19      7
611     11      20      8
641     11      21      1
671     11      22      2
697     11      23      3
701     11      23      4
707     11      23      5
731     11      24      6
761     11      25      7
779     11      25      8


#p13    #fam13  #n13    #color13
13      13      0       1
43      13      1       2
73      13      2       3
91      13      3       4
103     13      3       5
133     13      4       6
143     13      4       7
163     13      5       8
169     13      5       1
193     13      6       2
221     13      7       3
223     13      7       4
247     13      8       5
253     13      8       6
283     13      9       7
299     13      9       8
301     13      10      1
313     13      10      2
343     13      11      3
373     13      12      4
377     13      12      5
403     13      13      6
433     13      14      7
463     13      15      8
473     13      15      1
493     13      16      2
511     13      17      3
523     13      17      4
553     13      18      5
559     13      18      6
583     13      19      7
613     13      20      8
643     13      21      1
673     13      22      2
703     13      23      3
721     13      24      4
731     13      24      5
733     13      24      6
763     13      25      7
793     13      26      8


#p17    #fam17  #n17    #color17
17      17      0       1
47      17      1       2
77      17      2       3
107     17      3       4
119     17      3       5
137     17      4       6
167     17      5       7
187     17      6       8
197     17      6       1
221     17      7       2
227     17      7       3
257     17      8       4
287     17      9       5
289     17      9       6
317     17      10      7
323     17      10      8
329     17      10      1
347     17      11      2
377     17      12      3
391     17      13      4
407     17      13      5
437     17      14      6
467     17      15      7
493     17      16      8
497     17      16      1
517     17      17      2
527     17      17      3
539     17      17      4
557     17      18      5
587     17      19      6
611     17      20      7
617     17      20      8
647     17      21      1
677     17      22      2
707     17      23      3
737     17      24      4
749     17      24      5
767     17      25      6
797     17      26      7
799     17      26      8


#p19    #fam19  #n19    #color19
19      19      0       1
49      19      1       2
79      19      2       3
109     19      3       4
133     19      4       5
139     19      4       6
169     19      5       7
199     19      6       8
209     19      6       1
229     19      7       2
247     19      8       3
259     19      8       4
289     19      9       5
319     19      10      6
323     19      10      7
343     19      11      8
349     19      11      1
361     19      12      2
379     19      12      3
409     19      13      4
437     19      14      5
439     19      14      6
469     19      15      7
499     19      16      8
529     19      17      1
539     19      17      2
551     19      18      3
553     19      18      4
559     19      18      5
589     19      19      6
619     19      20      7
637     19      21      8
649     19      21      1
679     19      22      2
709     19      23      3
739     19      24      4
763     19      25      5
769     19      25      6
799     19      26      7
829     19      27      8


#p23    #fam23  #n23    #color23
23      23      0       1
53      23      1       2
83      23      2       3
113     23      3       4
143     23      4       5
161     23      5       6
173     23      5       7
203     23      6       8
233     23      7       1
253     23      8       2
263     23      8       3
293     23      9       4
299     23      9       5
323     23      10      6
353     23      11      7
371     23      12      8
383     23      12      1
391     23      13      2
413     23      13      3
437     23      14      4
443     23      14      5
473     23      15      6
503     23      16      7
529     23      17      8
533     23      17      1
563     23      18      2
581     23      19      3
583     23      19      4
593     23      19      5
623     23      20      6
653     23      21      7
667     23      22      8
683     23      22      1
689     23      22      2
713     23      23      3
743     23      24      4
773     23      25      5
791     23      26      6
803     23      26      7
833     23      27      8

#p29    #fam29  #n29    #color 29
29      29      0       1
59      29      1       2
89      29      2       3
119     29      3       4
149     29      4       5
179     29      5       6
203     29      6       7
209     29      6       8
239     29      7       1
269     29      8       2
299     29      9       3
319     29      10      4
329     29      10      5
359     29      11      6
377     29      12      7
389     29      12      8
413     29      13      1
419     29      13      2
449     29      14      3
479     29      15      4
493     29      16      5
509     29      16      6
539     29      17      7
551     29      18      8
569     29      18      1
599     29      19      2
623     29      20      3
629     29      20      4
649     29      21      5
659     29      21      6
667     29      22      7
689     29      22      8
719     29      23      1
749     29      24      2
767     29      25      3
779     29      25      4
809     29      26      5
833     29      27      6
839     29      27      7
841     29      28      8
