#p01    #fam01  #n01    #color01
1       1       0       1
7       1       0       2
11      1       0       3
13      1       0       4
17      1       0       5
19      1       0       6
23      1       0       7
29      1       0       8
31      1       1       1
61      1       2       2
91      1       3       3
121     1       4       4
151     1       5       5
181     1       6       6
211     1       7       7
217     1       7       8
241     1       8       1
271     1       9       2
301     1       10      3
331     1       11      4
341     1       11      5
361     1       12      6
391     1       13      7
403     1       13      8
421     1       14      1
427     1       14      2
451     1       15      3
481     1       16      4
511     1       17      5
527     1       17      6
541     1       18      7
571     1       19      8
589     1       19      1
601     1       20      2
631     1       21      3
637     1       21      4
661     1       22      5
671     1       22      6
691     1       23      7
713     1       23      8
721     1       24      1
751     1       25      2
781     1       26      3
793     1       26      4
811     1       27      5
841     1       28      6
847     1       28      7
871     1       29      8
899     1       29      1
901     1       30      2
931     1       31      3
961     1       32      4
991     1       33      5
1001    1       33      6
1021    1       34      7
1037    1       34      8
1051    1       35      1
1057    1       35      2
1081    1       36      3
1111    1       37      4
1141    1       38      5
1159    1       38      6
1171    1       39      7
1183    1       39      8
1201    1       40      1
1231    1       41      2
1261    1       42      3
1267    1       42      4
1291    1       43      5
1321    1       44      6
1331    1       44      7
1351    1       45      8
1381    1       46      1
1403    1       46      2
1411    1       47      3
1441    1       48      4
1471    1       49      5
1477    1       49      6
1501    1       50      7
1531    1       51      8
1547    1       51      1
1561    1       52      2
1573    1       52      3
1591    1       53      4
1621    1       54      5
1651    1       55      6
1661    1       55      7
1681    1       56      8
1687    1       56      1
1711    1       57      2
1729    1       57      3
1741    1       58      4
1769    1       58      5
1771    1       59      6
1801    1       60      7
1831    1       61      8
1861    1       62      1
1891    1       63      2
1897    1       63      3
1921    1       64      4
1951    1       65      5
1963    1       65      6
1981    1       66      7
1991    1       66      8
2011    1       67      1
2041    1       68      2
2057    1       68      3
2071    1       69      4
2093    1       69      5
2101    1       70      6
2107    1       70      7
2131    1       71      8
2161    1       72      1
2191    1       73      2
2221    1       74      3
2251    1       75      4
2281    1       76      5
2299    1       76      6
2311    1       77      7
2317    1       77      8
2321    1       77      1
2341    1       78      2
2353    1       78      3
2371    1       79      4
2401    1       80      5
2431    1       81      6
2461    1       82      7
2491    1       83      8
2521    1       84      1
2527    1       84      2
2551    1       85      3
2567    1       85      4
2581    1       86      5
2611    1       87      6
2639    1       87      7
2641    1       88      8
2651    1       88      1
2671    1       89      2
2701    1       90      3
2731    1       91      4
2737    1       91      5
2743    1       91      6
2761    1       92      7
2783    1       92      8
2791    1       93      1
2821    1       94      2
2851    1       95      3
2869    1       95      4
2881    1       96      5
2911    1       97      6
2941    1       98      7
2947    1       98      8
2971    1       99      1
2981    1       99      2
3001    1       100     3
3031    1       101     4
3061    1       102     5
3077    1       102     6
3091    1       103     7
3121    1       104     8
3133    1       104     1
3151    1       105     2
3157    1       105     3
3181    1       106     4
3211    1       107     5
3241    1       108     6
3271    1       109     7
3301    1       110     8
3311    1       110     1
3331    1       111     2
3361    1       112     3
3367    1       112     4
3391    1       113     5
3421    1       114     6
3439    1       114     7
3451    1       115     8
3473    1       115     1
3481    1       116     2
3509    1       116     3
3511    1       117     4
3523    1       117     5
3541    1       118     6
3571    1       119     7
3577    1       119     8
3587    1       119     1
3601    1       120     2
3631    1       121     3
3641    1       121     4
3661    1       122     5
3691    1       123     6
3721    1       124     7
3751    1       125     8
3781    1       126     1
3787    1       126     2
3811    1       127     3
3841    1       128     4
3871    1       129     5
3901    1       130     6
3913    1       130     7
3931    1       131     8
3961    1       132     1
3971    1       132     2
3991    1       133     3
3997    1       133     4
4009    1       133     5
4021    1       134     6
4051    1       135     7
4081    1       136     8
4097    1       136     1
4111    1       137     2
4141    1       138     3
4163    1       138     4
4171    1       139     5
4201    1       140     6
4207    1       140     7
4231    1       141     8
4261    1       142     1
4291    1       143     2
4301    1       143     3
4303    1       143     4
4321    1       144     5
4351    1       145     6
4379    1       145     7
4381    1       146     8
4411    1       147     1
4417    1       147     2
4441    1       148     3
4471    1       149     4
4501    1       150     5
4531    1       151     6
4561    1       152     7
4579    1       152     8
4591    1       153     1
4607    1       153     2
4621    1       154     3
4627    1       154     4
4631    1       154     5
4651    1       155     6
4681    1       156     7
4693    1       156     8
4711    1       157     1
4741    1       158     2
4771    1       159     3
4801    1       160     4
4831    1       161     5
4837    1       161     6
4853    1       161     7
4861    1       162     8
4891    1       163     1
4921    1       164     2
4951    1       165     3
4961    1       165     4
4981    1       166     5
5011    1       167     6
5041    1       168     7
5047    1       168     8
5071    1       169     1
5083    1       169     2
5101    1       170     3
5117    1       170     4
5131    1       171     5
5149    1       171     6
5161    1       172     7
5191    1       173     8
5221    1       174     1
5249    1       174     2
5251    1       175     3
5257    1       175     4
5281    1       176     5
5291    1       176     6
5311    1       177     7
5341    1       178     8
5371    1       179     1
5401    1       180     2
5431    1       181     3
5461    1       182     4
5467    1       182     5
5473    1       182     6
5491    1       183     7
5521    1       184     8
5543    1       184     1
5551    1       185     2
5581    1       186     3
5611    1       187     4
5621    1       187     5
5627    1       187     6
5641    1       188     7
5671    1       189     8
5677    1       189     1
5701    1       190     2
5719    1       190     3
5731    1       191     4
5761    1       192     5
5791    1       193     6
5821    1       194     7
5851    1       195     8
5863    1       195     1
5881    1       196     2
5887    1       196     3
5911    1       197     4
5941    1       198     5
5951    1       198     6
5971    1       199     7
6001    1       200     8
6031    1       201     1
6061    1       202     2
6091    1       203     3
6097    1       203     4
6119    1       203     5
6121    1       204     6
6137    1       204     7
6151    1       205     8
6181    1       206     1
6211    1       207     2
6233    1       207     3
6241    1       208     4
