#x      y       z    pallette
#http://lowrank.net/gnuplot/plot3d2-e.html
1       1       0     0
1       7       0     0
1       11      0     0
1       13      0     0
1       17      0     0
1       19      0     0
1       23      0     0
1       29      0     0
1       31      1     0

7       1       0     1
7       7       1     1
7       11      2     1
7       13      3     1
7       17      3     1
7       19      4     1
7       23      5     1
7       29      6     1
7       31      7     1

11      1       0     2
11      7       2     2
11      11      4     2
11      13      4     2
11      17      6     2
11      19      6     2
11      23      8     2
11      29      10    2
11      31      11    2

13      1       0     3
13      7       3     3
13      11      4     3
13      13      5     3
13      17      7     3
13      19      8     3
13      23      9     3
13      29      12    3
13      31      13    3

17      1       0     4
17      7       3     4
17      11      6     4
17      13      7     4
17      17      9     4
17      19      10    4
17      23      13    4
17      29      16    4
17      31      17    4

19      1       0     5
19      7       4     5
19      11      6     5
19      13      8     5
19      17      10    5
19      19      12    5
19      23      14    5
19      29      18    5
19      31      19    5

23      1       0     6
23      7       5     6
23      11      8     6
23      13      9     6
23      17      13    6
23      19      14    6
23      23      17    6
23      29      22    6
23      31      23    6

29      1       0     7
29      7       6     7
29      11      10    7
29      13      12    7
29      17      16    7
29      19      18    7
29      23      22    7
29      29      28    7
29      31      29    7

