#http://lowrank.net/gnuplot/datafile-e.html
# splot "second.dat" with points pointtype 5 pointsize 3 palette
# good data just raise the z by +1 each level
#p      #fam    #n     #color
#x      y       z       palette
     1   1      0       1
     7   1      0       2
     11  1      0       3
     13  1      0       4
     17  1      0       5
     19  1      0       6
     23  1      0       7
     29  1      0       8
     31  1      1       1
     37  1      1       2
     41  1      1       3
     43  1      1       4
     47  1      1       5
     49  1      1       6
     53  1      1       7
     59  1      1       8
     61  1      2       1
     67  1      2       2
     71  1      2       3
     73  1      2       4
     77  1      2       5
     79  1      2       6
     83  1      2       7
     89  1      2       8


     8   7      0       1
     14  7      1       2
     18  7      2       3
     20  7      3       4
     24  7      3       5
     26  7      4       6
     30  7      5       7
     36  7      6       8
     38  7      7       1
     44  7      8       2
     48  7      9       3
     50  7      10      4
     54  7      10      5
     56  7      11      6
     60  7      12      7
     66  7      13      8
     68  7      14      1
     74  7      15      2
     78  7      16      3
     80  7      17      4
     84  7      17      5
     86  7      18      6
     90  7      19      7
     96  7      20      8


     12  11     0       1
     18  11     2       2
     22  11     4       3
     24  11     4       4
     28  11     6       5
     30  11     6       6
     34  11     8       7
     40  11     10      8
     42  11     11      1
     48  11     13      2
     52  11     15      3
     54  11     15      4
     58  11     17      5
     60  11     17      6
     64  11     19      7
     70  11     21      8
     72  11     22      1
     78  11     24      2
     82  11     26      3
     84  11     26      4
     88  11     28      5
     90  11     28      6
     94  11     30      7
     100 11     32      8


     14  13     0       1
     20  13     3       2
     24  13     4       3
     26  13     5       4
     30  13     7       5
     32  13     8       6
     36  13     9       7
     42  13     12      8
     44  13     13      1
     50  13     16      2
     54  13     17      3
     56  13     18      4
     60  13     20      5
     62  13     21      6
     66  13     22      7
     72  13     25      8
     74  13     26      1
     80  13     29      2
     84  13     30      3
     86  13     31      4
     90  13     33      5
     92  13     34      6
     96  13     35      7
     102 13     38      8


     18  17     0       1
     24  17     3       2
     28  17     6       3
     30  17     7       4
     34  17     9       5
     36  17     10      6
     40  17     13      7
     46  17     16      8
     48  17     17      1
     54  17     20      2
     58  17     23      3
     60  17     24      4
     64  17     26      5
     66  17     27      6
     70  17     30      7
     76  17     33      8
     78  17     34      1
     84  17     37      2
     88  17     40      3
     90  17     41      4
     94  17     43      5
     96  17     44      6
     100 17     47      7
     106 17     50      8


     20  19     0       1
     26  19     4       2
     30  19     6       3
     32  19     8       4
     36  19     10      5
     38  19     12      6
     42  19     14      7
     48  19     18      8
     50  19     19      1
     56  19     23      2
     60  19     25      3
     62  19     27      4
     66  19     29      5
     68  19     31      6
     72  19     33      7
     78  19     37      8
     80  19     38      1
     86  19     42      2
     90  19     44      3
     92  19     46      4
     96  19     48      5
     98  19     50      6
     102 19     52      7
     108 19     56      8


     24  23     0       1
     30  23     5       2
     34  23     8       3
     36  23     9       4
     40  23     13      5
     42  23     14      6
     46  23     17      7
     52  23     22      8
     54  23     23      1
     60  23     28      2
     64  23     31      3
     66  23     32      4
     70  23     36      5
     72  23     37      6
     76  23     40      7
     82  23     45      8
     84  23     46      1
     90  23     51      2
     94  23     54      3
     96  23     55      4
     100 23     59      5
     102 23     60      6
     106 23     63      7
     112 23     68      8


     30  29     0       1
     36  29     6       2
     40  29     10      3
     42  29     12      4
     46  29     16      5
     48  29     18      6
     52  29     22      7
     58  29     28      8
     60  29     29      1
     66  29     35      2
     70  29     39      3
     72  29     41      4
     76  29     45      5
     78  29     47      6
     82  29     51      7
     88  29     57      8
     90  29     58      1
     96  29     64      2
     100 29     68      3
     102 29     70      4
     106 29     74      5
     108 29     76      6
     112 29     80      7
     118 29     86      8


