#x      y       z       c


0       0       2       2
1       2       2       2
2       4       2       2
3       6       2       2
4       8       2       2
5       10      2       2
6       12      2       2
7       14      2       2
8       16      2       2
9       18      2       2
10      20      2       2
11      22      2       2
12      24      2       2
13      26      2       2
14      28      2       2
15       0      2       2
15      30      2       2
16      2       2       2
17      4       2       2
18      6       2       2
19      8       2       2
20      10      2       2
21      12      2       2
22      14      2       2
23      16      2       2
24      18      2       2
25      20      2       2
26      22      2       2
27      24      2       2
28      26      2       2
29      28      2       2
30      30      2       2


#x      y       z       c

0       0       3       3
1       3       3       3
2       6       3       3
3       9       3       3
4       12      3       3
5       15      3       3
6       18      3       3
7       21      3       3
8       24      3       3
9       27      3       3
10      30      3       3
11      33      3       3
12      36      3       3
13      39      3       3
14      42      3       3
15      45      3       3
16      18      3       3
17      21      3       3
18      24      3       3
19      27      3       3
20      0       3       3
20      30      3       3
21      3       3       3
22      6       3       3
23      9       3       3
24      12      3       3
25      15      3       3
26      18      3       3
27      21      3       3
28      24      3       3
29      27      3       3
30      30      3       3

