#x      y       z       c


0       0       2       2
1       2       2       2
2       4       2       2
3       6       2       2
4       8       2       2
5       10      2       2
6       12      2       2
7       14      2       2
8       16      2       2
9       18      2       2
10      20      2       2
11      22      2       2
12      24      2       2
13      26      2       2
14      28      2       2
15       0      2       2
15      30      2       2
16      2       2       2
17      4       2       2
18      6       2       2
19      8       2       2
20      10      2       2
21      12      2       2
22      14      2       2
23      16      2       2
24      18      2       2
25      20      2       2
26      22      2       2
27      24      2       2
28      26      2       2
29      28      2       2
30      30      2       2


#x      y       z       c

0       0       3       3
1       3       3       3
2       6       3       3
3       9       3       3
4       12      3       3
5       15      3       3
6       18      3       3
7       21      3       3
8       24      3       3
9       27      3       3
10      0       3       3
10      30      3       3
11      3       3       3
12      6       3       3
13      9       3       3
14      12      3       3
15      15      3       3
16      18      3       3
17      21      3       3
18      24      3       3
19      27      3       3
20      0       3       3
20      30      3       3
21      3       3       3
22      6       3       3
23      9       3       3
24      12      3       3
25      15      3       3
26      18      3       3
27      21      3       3
28      24      3       3
29      27      3       3
30      0       3       3
30      30      3       3


#x      y       z       c
        4
x       y       z
0       0       4       4
1       4       4       4
2       8       4       4
3       12      4       4
4       16      4       4
5       20      4       4
6       24      4       4
7       28      4       4
8       2       4       4
9       6       4       4
10      10      4       4
11      14      4       4
12      18      4       4
13      22      4       4
14      26      4       4
15      0       4       4
15      30      4       4
16      4       4       4
17      8       4       4
18      12      4       4
19      16      4       4
20      20      4       4
21      24      4       4
22      28      4       4
23      2       4       4
24      6       4       4
25      10      4       4
26      14      4       4
27      18      4       4
28      22      4       4
29      26      4       4
30      0       4       4
30      30      4       4


#x      y       z       c
0       0       5       5
1       5       5       5
2       10      5       5
3       15      5       5
4       20      5       5
5       25      5       5
6       0       5       5
6       30      5       5
7       0       5       5
8       5       5       5
9       10      5       5
10      15      5       5
11      20      5       5
12      25      5       5
13      0       5       5
13      30      5       5
14      0       5       5
15      5       5       5
16      10      5       5
17      15      5       5
18      20      5       5
19      25      5       5
20      0       5       5
20      30      5       5
21      0       5       5
22      5       5       5
23      10      5       5
24      15      5       5
25      20      5       5
26      25      5       5
27      0       5       5
27      30      5       5
28      0       5       5
29      5       5       5
30      10      5       5



#x      y       z       c
0       0       6       6
1       6       6       6
2       12      6       6
3       18      6       6
4       24      6       6
5       0       6       6
5       30      6       6
6       6       6       6
7       12      6       6
8       18      6       6
9       24      6       6
10      30      6       6
11      6       6       6
12      12      6       6
13      18      6       6
14      24      6       6
15      0       6       6
15      30      6       6
16      6       6       6
17      12      6       6
18      18      6       6
19      24      6       6
20      0       6       6
20      30      6       6
21      6       6       6
22      12      6       6
23      18      6       6
24      24      6       6
25      0       6       6
25      30      6       6
26      6       6       6
27      12      6       6
28      18      6       6
29      24      6       6
30      0       6       6
30      30      6       6


#x      y       z       c
0       0       7       7
1       7       7       7
2       14      7       7
3       21      7       7
4       28      7       7
5       5       7       7
6       12      7       7
7       19      7       7
8       26      7       7
9       3       7       7
10      10      7       7
11      17      7       7
12      24      7       7
13      1       7       7
14      8       7       7
15      15      7       7
16      22      7       7
17      29      7       7
18      6       7       7
19      13      7       7
20      20      7       7
21      27      7       7
22      4       7       7
23      11      7       7
24      18      7       7
25      25      7       7
26      2       7       7
27      9       7       7
28      16      7       7
29      23      7       7
30      30      7       7

