#z      #x      #y      c
0       0       0       0
0       1       0       0
0       2       0       0
0       3       0       0
0       4       0       0
0       5       0       0
0       6       0       0
0       7       0       0
0       8       0       0
0       9       0       0
0       10      0       0
0       11      0       0
0       12      0       0
0       13      0       0
0       14      0       0
0       15      0       0
0       16      0       0
0       17      0       0
0       18      0       0
0       19      0       0
0       20      0       0
0       21      0       0
0       22      0       0
0       23      0       0
0       24      0       0
0       25      0       0
0       26      0       0
0       27      0       0
0       28      0       0
0       29      0       0
0       30      0       0



#z      #x      #y     #c
1       0       0      1
1       1       1      1
1       2       2      1
1       3       3      1
1       4       4      1
1       5       5      1
1       6       6      1
1       7       7      1
1       8       8      1
1       9       9      1
1       10      10     1
1       11      11     1
1       12      12     1
1       13      13     1
1       14      14     1
1       15      15     1
1       16      16     1
1       17      17     1
1       18      18     1
1       19      19     1
1       20      20     1
1       21      21     1
1       22      22     1
1       23      23     1
1       24      24     1
1       25      25     1
1       26      26     1
1       27      27     1
1       28      28     1
1       29      29     1
1       30      30      1



#z    #x     #y        #c


 2    0       0        2
 2    1       2        2
 2    2       4        2
 2    3       6        2
 2    4       8        2
 2    5       10       2
 2    6       12       2
 2    7       14       2
 2    8       16       2
 2    9       18       2
 2    10      20       2
 2    11      22       2
 2    12      24       2
 2    13      26       2
 2    14      28       2
 2    15       0       2
 2    15      30       2
 2    16      2        2
 2    17      4        2
 2    18      6        2
 2    19      8        2
 2    20      10       2
 2    21      12       2
 2    22      14       2
 2    23      16       2
 2    24      18       2
 2    25      20       2
 2    26      22       2
 2    27      24       2
 2    28      26       2
 2    29      28       2
 2    30      30       2


#z    #x     #y        #c

 3    0       0        3
 3    1       3        3
 3    2       6        3
 3    3       9        3
 3    4       12       3
 3    5       15       3
 3    6       18       3
 3    7       21       3
 3    8       24       3
 3    9       27       3
 3    10      0        3
 3    10      30       3
 3    11      3        3
 3    12      6        3
 3    13      9        3
 3    14      12       3
 3    15      15       3
 3    16      18       3
 3    17      21       3
 3    18      24       3
 3    19      27       3
 3    20      0        3
 3    20      30       3
 3    21      3        3
 3    22      6        3
 3    23      9        3
 3    24      12       3
 3    25      15       3
 3    26      18       3
 3    27      21       3
 3    28      24       3
 3    29      27       3
 3    30      0        3
 3    30      30       3


#z    #x     #y        #c
              4
#z    x      #y
 4    0       0        4
 4    1       4        4
 4    2       8        4
 4    3       12       4
 4    4       16       4
 4    5       20       4
 4    6       24       4
 4    7       28       4
 4    8       2        4
 4    9       6        4
 4    10      10       4
 4    11      14       4
 4    12      18       4
 4    13      22       4
 4    14      26       4
 4    15      0        4
 4    15      30       4
 4    16      4        4
 4    17      8        4
 4    18      12       4
 4    19      16       4
 4    20      20       4
 4    21      24       4
 4    22      28       4
 4    23      2        4
 4    24      6        4
 4    25      10       4
 4    26      14       4
 4    27      18       4
 4    28      22       4
 4    29      26       4
 4    30      0        4
 4    30      30       4


#z    #x     #y        #c
 5    0       0        5
 5    1       5        5
 5    2       10       5
 5    3       15       5
 5    4       20       5
 5    5       25       5
 5    6       0        5
 5    6       30       5
 5    7       0        5
 5    8       5        5
 5    9       10       5
 5    10      15       5
 5    11      20       5
 5    12      25       5
 5    13      0        5
 5    13      30       5
 5    14      0        5
 5    15      5        5
 5    16      10       5
 5    17      15       5
 5    18      20       5
 5    19      25       5
 5    20      0        5
 5    20      30       5
 5    21      0        5
 5    22      5        5
 5    23      10       5
 5    24      15       5
 5    25      20       5
 5    26      25       5
 5    27      0        5
 5    27      30       5
 5    28      0        5
 5    29      5        5
 5    30      10       5



#z    #x     #y        #c
 6    0       0        6
 6    1       6        6
 6    2       12       6
 6    3       18       6
 6    4       24       6
 6    5       0        6
 6    5       30       6
 6    6       6        6
 6    7       12       6
 6    8       18       6
 6    9       24       6
 6    10      30       6
 6    11      6        6
 6    12      12       6
 6    13      18       6
 6    14      24       6
 6    15      0        6
 6    15      30       6
 6    16      6        6
 6    17      12       6
 6    18      18       6
 6    19      24       6
 6    20      0        6
 6    20      30       6
 6    21      6        6
 6    22      12       6
 6    23      18       6
 6    24      24       6
 6    25      0        6
 6    25      30       6
 6    26      6        6
 6    27      12       6
 6    28      18       6
 6    29      24       6
 6    30      0        6
 6    30      30       6


#z    #x     #y        #c
 7    0       0        7
 7    1       7        7
 7    2       14       7
 7    3       21       7
 7    4       28       7
 7    5       5        7
 7    6       12       7
 7    7       19       7
 7    8       26       7
 7    9       3        7
 7    10      10       7
 7    11      17       7
 7    12      24       7
 7    13      1        7
 7    14      8        7
 7    15      15       7
 7    16      22       7
 7    17      29       7
 7    18      6        7
 7    19      13       7
 7    20      20       7
 7    21      27       7
 7    22      4        7
 7    23      11       7
 7    24      18       7
 7    25      25       7
 7    26      2        7
 7    27      9        7
 7    28      16       7
 7    29      23       7
 7    30      30       7


#x      y       z       #c
8       0       0       8
8       1       8       8
8       2       16      8
8       3       24      8
8       4       2       8
8       5       10      8
8       6       18      8
8       7       26      8
8       8       4       8
8       9       12      8
8       10      20      8
8       11      28      8
8       12      6       8
8       13      14      8
8       14      22      8
8       15      0       8
8       15      30      8
8       16      8       8
8       17      16      8
8       18      24      8
8       19      2       8
8       20      10      8
8       21      18      8
8       22      26      8
8       23      4       8
8       24      12      8
8       25      20      8
8       26      28      8
8       27      6       8
8       28      14      8
8       29      22      8
8       30      0       8
8       30      30      8


#z      #x      #y      #c
9       0       0       9
9       1       9       9
9       2       18      9
9       3       27      9
9       4       6       9
9       5       15      9
9       6       24      9
9       7       3       9
9       8       12      9
9       9       21      9
9       10      0       9
9       10      30      9
9       11      9       9
9       12      18      9
9       13      27      9
9       14      6       9
9       15      15      9
9       16      24      9
9       17      3       9
9       18      12      9
9       19      21      9
9       20      0       9
9       20      30      9
9       21      9       9
9       22      18      9
9       23      27      9
9       24      6       9
9       25      15      9
9       26      24      9
9       27      3       9
9       28      12      9
9       29      21      9
9       30      0       9
9       30      30      9


#z      #x      #y      #c
10      0       0       10
10      1       10      10
10      2       20      10
10      3       0       10
10      3       30      10
10      4       10      10
10      5       20      10
10      6       0       10
10      6       30      10
10      7       10      10
10      8       20      10
10      9       0       10
10      9       30      10
10      10      10      10
10      11      20      10
10      12      0       10
10      12      30      10
10      13      10      10
10      14      20      10
10      15      0       10
10      15      30      10
10      16      10      10
10      17      20      10
10      18      0       10
10      18      30      10
10      19      10      10
10      20      20      10
10      21      0       10
10      21      30      10
10      22      10      10
10      23      20      10
10      24      0       10
10      24      30      10
10      25      10      10
10      26      20      10
10      27      0       10
10      27      30      10
10      28      10      10
10      29      20      10
10      30      0       10
10      30      30      10


#z      #x      #y      #c
11      0       0       11
11      1       11      11
11      2       22      11
11      3       3       11
11      4       14      11
11      5       25      11
11      6       6       11
11      7       17      11
11      8       28      11
11      9       9       11
11      10      20      11
11      11      1       11
11      12      12      11
11      13      23      11
11      14      4       11
11      15      15      11
11      16      26      11
11      17      7       11
11      18      18      11
11      19      29      11
11      20      10      11
11      21      21      11
11      22      2       11
11      23      13      11
11      24      24      11
11      25      5       11
11      26      16      11
11      27      27      11
11      28      8       11
11      29      19      11
11      30      0       11
11      30      30      11



#z      #x      #y      #c
12      0       0       12
12      1       12      12
12      2       24      12
12      3       6       12
12      4       18      12
12      5       00      12
12      5       30      12
12      6       12      12
12      7       24      12
12      8       6       12
12      9       18      12
12      10      00      12
12      10      30      12
12      11      12      12
12      12      24      12
12      13      6       12
12      14      18      12
12      15      00      12
12      15      30      12
12      16      12      12
12      17      24      12
12      18      6       12
12      19      18      12
12      20      00      12
12      20      30      12
12      21      12      12
12      22      24      12
