#splot "snapin11.txt" with points pointtype 1 pointsize 1 palette , "snapin8.txt" with lines
#x  #y  #z  #c
1   1   1   5
1   31  31   5
#1   60  60   5

#x  #y  #z  #c
7   1   1   5
7  37  37   5
7  60  60   5

#x  #y  #z  #c
11   1   1  5
11  41  41  5
11  60  60  5

#x  #y  #z  #c
13  1   1   5
13  43  43  5
13  60  60  5

#x  #y  #z  #c
17  1   1   5
17  47  47  5
17  60  60  5

#x  #y  #z  #c
19  1   1   5
19  49  49  5
19  60  60  5

#x  #y  #z  #c
23  1   1   5
23  53  53  5
23  60  60  5

#x  #y  #z  #c
29  1   1   5
29  59  59  5
29  60  60  5

