#set palette defined ( 1 "#0000000", 2 "#ff0000" , 3 "#00ff00" , 4 "#0000ff" , 5  "#ffffff" , 6 "#00ffff" ,  7 "#ff1493" , 8 "#ff8c00" )

#x      #line    2  #color     ##fam
0001    0        2  1          #1
0001    0        2  1          #1
0007    0        2  1          #1
0011    0        2  1          #1
0013    0        2  1          #1
0017    0        2  1          #1
0019    0        2  1          #1
0023    0        2  1          #1
0029    0        2  1          #1
0031    1        2  1          #1
0037    1        2  1          #1
0041    1        2  1          #1
0043    1        2  1          #1
0047    1        2  1          #1
0049    1        2  1          #1
0053    1        2  1          #1
0059    1        2  1          #1
0061    2        2  1          #1
0067    2        2  1          #1
0071    2        2  1          #1
0073    2        2  1          #1
0077    2        2  1          #1
0079    2        2  1          #1
0083    2        2  1          #1
0089    2        2  1          #1
                #2             #
                #2             #
#x      #line    2  #color     ##fam
0007    0        2  2          #7
0049    1        2  2          #7
0077    2        2  2          #7
0091    3        2  2          #7
0119    3        2  2          #7
0133    4        2  2          #7
0161    5        2  2          #7
0203    6        2  2          #7
0217    7        2  2          #7
0259    8        2  2          #7
0287    9        2  2          #7
0301    10       2  2          #7
0329    10       2  2          #7
0343    11       2  2          #7
0371    12       2  2          #7
0413    13       2  2          #7
0427    14       2  2          #7
0469    15       2  2          #7
0497    16       2  2          #7
0511    17       2  2          #7
0539    17       2  2          #7
0553    18       2  2          #7
0581    19       2  2          #7
0623    20       2  2          #7
0637    21       2  2          #7
                #2             #
                #2             #
#x      #line    2  #color     ##fam
0011    0        2  3          #11
0077    2        2  3          #11
0121    4        2  3          #11
0143    4        2  3          #11
0187    6        2  3          #11
0209    6        2  3          #11
0253    8        2  3          #11
0319    10       2  3          #11
0341    11       2  3          #11
0407    13       2  3          #11
0451    15       2  3          #11
0473    15       2  3          #11
0517    17       2  3          #11
0539    17       2  3          #11
0583    19       2  3          #11
0649    21       2  3          #11
0671    22       2  3          #11
0737    24       2  3          #11
0781    26       2  3          #11
0803    26       2  3          #11
0847    28       2  3          #11
0869    28       2  3          #11
0913    30       2  3          #11
0979    32       2  3          #11
1001    33       2  3          #11
                #2             #
                #2             #
#x      #line    2  #color     ##fam
0013    0        2  4          #13
0091    3        2  4          #13
0143    4        2  4          #13
0169    5        2  4          #13
0221    7        2  4          #13
0247    8        2  4          #13
0299    9        2  4          #13
0377    12       2  4          #13
0403    13       2  4          #13
0481    16       2  4          #13
0533    17       2  4          #13
0559    18       2  4          #13
0611    20       2  4          #13
0637    21       2  4          #13
0689    22       2  4          #13
0767    25       2  4          #13
0793    26       2  4          #13
0871    29       2  4          #13
0923    30       2  4          #13
0949    31       2  4          #13
1001    33       2  4          #13
1027    34       2  4          #13
1079    35       2  4          #13
1157    38       2  4          #13
1183    39       2  4          #13
                #2             #
                #2             #
#x      #line    2  #color     ##fam
0017    0        2  5          #17
0119    3        2  5          #17
0187    6        2  5          #17
0221    7        2  5          #17
0289    9        2  5          #17
0323    10       2  5          #17
0391    13       2  5          #17
0493    16       2  5          #17
0527    17       2  5          #17
0629    20       2  5          #17
0697    23       2  5          #17
0731    24       2  5          #17
0799    26       2  5          #17
0833    27       2  5          #17
0901    30       2  5          #17
1003    33       2  5          #17
1037    34       2  5          #17
1139    37       2  5          #17
1207    40       2  5          #17
1241    41       2  5          #17
1309    43       2  5          #17
1343    44       2  5          #17
1411    47       2  5          #17
1513    50       2  5          #17
                #2             #
               ##2             #
#x      #line    2  #color     ##fam
0019    0        2  6          #19
0133    4        2  6          #19
0209    6        2  6          #19
0247    8        2  6          #19
0323    10       2  6          #19
0361    12       2  6          #19
0437    14       2  6          #19
0551    18       2  6          #19
0589    19       2  6          #19
0703    23       2  6          #19
0779    25       2  6          #19
0817    27       2  6          #19
0893    29       2  6          #19
0931    31       2  6          #19
1007    33       2  6          #19
1121    37       2  6          #19
1159    38       2  6          #19
1273    42       2  6          #19
1349    44       2  6          #19
1387    46       2  6          #19
1463    48       2  6          #19
1501    50       2  6          #19
1577    52       2  6          #19
1691    56       2  6          #19
                #2             #
                #2             #
#x      #line    2  #color     ##fam
0023    0        2  7          #23
0161    5        2  7          #23
0253    8        2  7          #23
0299    9        2  7          #23
0391    13       2  7          #23
0437    14       2  7          #23
0529    17       2  7          #23
0667    22       2  7          #23
0713    23       2  7          #23
0851    28       2  7          #23
0943    31       2  7          #23
0989    32       2  7          #23
1081    36       2  7          #23
1127    37       2  7          #23
1219    40       2  7          #23
1357    45       2  7          #23
1403    46       2  7          #23
1541    51       2  7          #23
1633    54       2  7          #23
1679    55       2  7          #23
1771    59       2  7          #23
1817    60       2  7          #23
1909    63       2  7          #23
2047    68       2  7          #23
                #2             #
                #2             #
#x      #line    2  #color     ##fam
0029    0        2  8          #29
0203    6        2  8          #29
0319    10       2  8          #29
0377    12       2  8          #29
0493    16       2  8          #29
0551    18       2  8          #29
0667    22       2  8          #29
0841    28       2  8          #29
0899    29       2  8          #29
1073    35       2  8          #29
1189    39       2  8          #29
1247    41       2  8          #29
1363    45       2  8          #29
1421    47       2  8          #29
1537    51       2  8          #29
1711    57       2  8          #29
1769    58       2  8          #29
1943    64       2  8          #29
2059    68       2  8          #29
2117    70       2  8          #29
2233    74       2  8          #29
2291    76       2  8          #29
2407    80       2  8          #29
2581    86       2  8          #29


