#x      #y      #z      #c      #comment Prime
#17      00      0       4       #
17      02      04      4       #
17      03      21      4       #
17      04      08      4       #
17      05      25      4       #
17      06      12      4       #
17      08      16      4       #
17      09      03      4       #
17      10      20      4       #
17      12      24      4       #
17      14      28      4       #
17      15      15      4       #
17      16      02      4       #
17      18      06      4       #
17      20      10      4       #
17      21      27      4       #
17      22      14      4       #
17      24      18      4       #
17      25      05      4       #
17      26      22      4       #
17      27      09      4       #
17      28      26      4       #
#x      #y      #z      #c      #comment Prime
17      30      30      4       0
17      32      34      4       #
17      33      51      4       #
17      34      38      4       #
17      35      55      4       #
17      36      42      4       #
17      38      46      4       #
17      39      33      4       #
17      40      50      4       #
17      42      54      4       #
17      44      58      4       #
17      45      45      4       #
17      46      32      4       #
17      48      36      4       #
17      49      53      4       #
17      50      40      4       #
17      51      57      4       #
17      52      44      4       #
17      54      48      4       #
17      55      35      4       #
17      56      52      4       #
17      57      39      4       #
17      58      56      4       #
#x      #y      #z      #c      #comment Prime
17      60      60      4       #
17      62      64      4       #
17      63      81      4       #
17      64      68      4       #
17      65      85      4       #
17      66      72      4       #
17      68      76      4       #
17      69      63      4       #
17      70      80      4       #
17      72      84      4       #
17      73      71      4       #
17      74      88      4       #
17      75      75      4       #
17      76      62      4       #
17      77      79      4       #
17      78      66      4       #
17      80      70      4       #
17      81      87      4       #
17      82      74      4       #
17      84      78      4       #
17      85      65      4       #
17      86      82      4       #
17      87      69      4       #
17      88      86      4       #


