#x      #y      #z      #c      #comment Prime
1       1       1       1       #P
1       7       7       1       #P
1       11      11      1       #P
1       13      13      1       #P
1       17      17      1       #P
1       19      19      1       #P
1       23      23      1       #P
1       29      29      1       #P
#x      #y      #z      #c      #comment Prime
1       31      31      1       #P
1       37      37      1       #P
1       41      41      1       #P
1       43      43      1       #P
1       47      47      1       #P
1       53      53      1       #P
1       59      59      1       #P
#x      #y      #z      #c      #comment Prime
1       61      61      1       #P
1       67      67      1       #P
1       71      71      1       #P
1       79      79      1       #P
1       83      83      1       #P
1       89      89      1       #P
#x      #y      #z      #c      #comment Prime
29      1       29      29      #P
29      7       23      29      #P
29      11      19      29      #P
29      13      17      29      #P
29      17      13      29      #P
29      19      11      29      #P
29      23      7       29      #P
29      29      1       29      #P
#x      #y      #z      #c      #comment Prime
29      31      59      29      #P
29      37      53      29      #P
29      41      49      29      #P
29      43      47      29      #P
29      47      43      29      #P
29      53      37      29      #P
29      59      31      29      #P
#x      #y      #z      #c      #comment Prime
29      61      89      29      #P
29      67      83      29      #P
29      71      79      29      #P
29      79      71      29      #P
29      83      67      29      #P
29      89      61      29      #P
