#x      #y      #z      #c      #comment Prime
23      01      23      2       #P
23      07      11      2       #P
23      11      13      2       #P
23      13      29      2       #P
23      17      01      2       #P
23      19      17      2       #P
23      23      19      2       #P
23      29      07      2       #P
#x      #y      #z      #c      #comment Prime
23      31      23      2       #P
23      37      11      2       #P
23      41      13      2       #P
23      43      29      2       #P
23      47      01      2       #P
23      53      19      2       #P
23      59      07      2       #P
#x      #y      #z      #c      #comment Prime
23      61      23      2       #P
23      67      11      2       #P
23      71      13      2       #P
23      79      17      2       #P
23      83      19      2       #P
23      89      07      2       #P
