 #z30    #x      #y      #c
 7       1       7       7
 7       2       14      7
 7       3       21      7
 7       4       28      7
 7       5       5       7
 7       6       12      7
 7       7       19      7
 7       8       26      7
 7       9       3       7
 7       10      10      7
 7       11      17      7
 7       12      24      7
 7       13      1       7
 7       14      8       7
 7       15      15      7
 7       16      22      7
 7       17      29      7
 7       18      6       7
 7       19      13      7
 7       20      20      7
 7       21      27      7
 7       22      4       7
 7       23      11      7
 7       24      18      7
 7       25      25      7
 7       26      2       7
 7       27      9       7
 7       28      16      7
 7       29      23      7

 #z30    #x      #y      #c
 23      1       23      7
 23      2       16      7
 23      3       9       7
 23      4       2       7
 23      5       25      7
 23      6       18      7
 23      7       11      7
 23      8       4       7
 23      9       27      7
 23      10      20      7
 23      11      13      7
 23      12      6       7
 23      13      29      7
 23      14      22      7
 23      15      15      7
 23      16      8       7
 23      17      1       7
 23      18      24      7
 23      19      17      7
 23      20      10      7
 23      21      3       7
 23      22      26      7
 23      23      19      7
 23      24      12      7
 23      25      5       7
 23      26      28      7
 23      27      21      7
 23      28      14      7
 23      29      7       7



 #z60    #x      #y      #c
 7       31      37      7
 7       32      44      7
 7       33      51      7
 7       34      58      7
 7       35      35      7
 7       36      42      7
 7       37      49      7
 7       38      56      7
 7       39      33      7
 7       40      40      7
 7       41      47      7
 7       42      54      7
 7       43      31      7
 7       44      38      7
 7       45      45      7
 7       46      52      7
 7       47      59      7
 7       48      36      7
 7       49      43      7
 7       50      50      7
 7       51      57      7
 7       52      34      7
 7       53      41      7
 7       54      48      7
 7       55      55      7
 7       56      32      7
 7       57      39      7
 7       58      46      7
 7       59      53      7
 #z60    #x      #y      #c
 23      31      53      7
 23      32      46      7
 23      33      39      7
 23      34      32      7
 23      35      55      7
 23      36      48      7
 23      37      41      7
 23      38      34      7
 23      39      57      7
 23      40      50      7
 23      41      43      7
 23      42      36      7
 23      43      59      7
 23      44      52      7
 23      45      45      7
 23      46      38      7
 23      47      31      7
 23      48      54      7
 23      49      47      7
 23      50      40      7
 23      51      33      7
 23      52      56      7
 23      53      49      7
 23      54      42      7
 23      55      35      7
 23      56      58      7
 23      57      51      7
 23      58      44      7
 23      59      37      7



 #z90    #x      #y      #c
 7       61      67      7
 7       62      74      7
 7       63      81      7
 7       64      88      7
 7       65      65      7
 7       66      72      7
 7       67      79      7
 7       68      86      7
 7       69      63      7
 7       70      70      7
 7       71      77      7
 7       72      84      7
 7       73      61      7
 7       74      68      7
 7       75      75      7
 7       76      82      7
 7       77      89      7
 7       78      66      7
 7       79      73      7
 7       80      80      7
 7       81      87      7
 7       82      64      7
 7       83      71      7
 7       84      78      7
 7       85      85      7
 7       86      62      7
 7       87      69      7
 7       88      76      7
 7       89      83      7
 #z90    #x      #y      #c
 23      61      83      7
 23      62      76      7
 23      63      69      7
 23      64      62      7
 23      65      85      7
 23      66      78      7
 23      67      71      7
 23      68      64      7
 23      69      87      7
 23      70      80      7
 23      71      73      7
 23      72      66      7
 23      73      89      7
 23      74      82      7
 23      75      75      7
 23      76      68      7
 23      77      61      7
 23      78      84      7
 23      79      77      7
 23      80      70      7
 23      81      63      7
 23      82      86      7
 23      83      79      7
 23      84      72      7
 23      85      65      7
 23      86      88      7
 23      87      81      7
 23      88      74      7
 23      89      67      7
