## command to plot
##  splot "snapin13_a.txt" with points pointtype 7 pointsize 1 palette , "snapin13_b.txt" with
##  lines palette , "snapin13_c.txt" with lines palette , "snapin13_d.txt" with lines lw 3 palette
##
##   all not prime = color 1
##
#z        #y   #x      #c
13        0    0       1
13        26   2       1
13        9    3       1
13        22   4       1
13        5    5       1
13        18   6       1
13        14   8       1
13        27   9       1
13        10   10      1
13        6    12      1
13        2    14      1
13        15   15      1
13        28   16      1
13        24   18      1
13        20   20      1
13        3    21      1
13        16   22      1
13        12   24      1
13        25   25      1
13        8    26      1
13        21   27      1
13        4    28      1
13        30   30      1

#z        #y   #x      #c
13        30   30       1
13         56  32       1
13        39   33       1
13         52  34       1
13        35   35       1
13         48  36       1
13         44  38       1
13         57  39       1
13        40   40      1
13       36    42      1
13       32    44      1
13        45   45      1
13        58   46      1
13        54   48      1
13        50   50      1
13       33    51      1
13        46   52      1
13        42   54      1
13        55   55      1
13       38    56      1
13        51   57      1
13       34    58      1
13        60   60      1


