# cd "d:"
# cd "\prime"
# cd "\gnuplot first1000"


# splot "first1000 30lines.txt" with points pointtype 7 pointsize  1 palette


#1x    1z      1y       1c
0001   0001    0031     red
0001   0006    0181     red
0001   0007    0211     1
0001   0008    0241     1
0001   0011    0331     1
0001   0014    0421     1
0001   0019    0571     1
0001   0020    0601     1
0001   0022    0661     1
0001   0023    0691     1
0001   0025    0751     1
0001   0027    0811     1
0001   0033    0991     1
0001   0034    1021     1
0001   0039    1171     1
0001   0041    1231     1
0001   0043    1291     1
0001   0046    1381     1
0001   0049    1471     1
0001   0051    1531     1
0001   0058    1741     1
0001   0061    1831     1
#7x    7z      7y       5c
0007   0000    0007     5
0007   0001    0037     5
0007   0003    0097     5
0007   0004    0127     5
0007   0010    0307     5
0007   0011    0337     5
0007   0012    0367     5
0007   0015    0457     5
0007   0016    0487     5
0007   0018    0547     5
0007   0019    0577     5
0007   0020    0607     5
0007   0024    0727     5
0007   0025    0757     5
0007   0029    0877     5
0007   0032    0967     5
0007   0033    0997     5
0007   0036    1087     5
0007   0037    1117     5
0007   0041    1237     5
0007   0043    1297     5
0007   0048    1447     5
0007   0052    1567     5
0007   0053    1597     5
0007   0058    1747     5
0007   0062    1867     5
0007   0067    2017     5
0007   0071    2137     5
0007   0078    2347     5
0007   0079    2377     5
0007   0081    2437     5
0007   0082    2467     5
#11x   11z     11y      8c
0011   0000    0011     8
0011   0001    0041     8
0011   0003    0101     8
0011   0004    0131     8
0011   0006    0191     8
0011   0008    0251     8
0011   0010    0311     8
0011   0014    0431     8
0011   0015    0461     8
0011   0016    0491     8
0011   0023    0701     8
0011   0027    0821     8
0011   0029    0881     8
0011   0032    0971     8
0011   0034    1031     8
0011   0036    1091     8
0011   0038    1151     8
0011   0039    1181     8
0011   0043    1301     8
0011   0048    1451     8
0011   0049    1481     8
0011   0052    1571     8
0011   0053    1601     8
0011   0057    1721     8
0011   0062    1871     8
0011   0063    1901     8
0011   0064    1931     8
0011   0069    2081     8
0011   0071    2141     8
0011   0078    2351     8
0011   0079    2381     8
0011   0081    2441     8
#13x   13z     13y      3c
0013   0000    0013     3
0013   0001    0043     3
0013   0002    0073     3
0013   0003    0103     3
0013   0006    0193     3
0013   0007    0223     3
0013   0009    0283     3
0013   0010    0313     3
0013   0012    0373     3
0013   0014    0433     3
0013   0015    0463     3
0013   0020    0613     3
0013   0022    0673     3
0013   0024    0733     3
0013   0027    0823     3
0013   0028    0853     3
0013   0029    0883     3
0013   0034    1033     3
0013   0036    1093     3
0013   0037    1123     3
0013   0038    1153     3
0013   0043    1303     3
0013   0047    1423     3
0013   0048    1453     3
0013   0051    1543     3
0013   0055    1663     3
0013   0056    1693     3
0013   0057    1723     3
0013   0058    1753     3
0013   0062    1873     3
0013   0066    1993     3
0013   0068    2053     3
#17x   17z     17y      6c
0017   0000    0017     6
0017   0003    0107     6
0017   0004    0137     6
0017   0006    0197     6
0017   0007    0227     6
0017   0010    0317     6
0017   0011    0347     6
0017   0015    0467     6
0017   0018    0557     6
0017   0019    0587     6
0017   0020    0617     6
0017   0022    0677     6
0017   0027    0827     6
0017   0028    0857     6
0017   0029    0887     6
0017   0031    0947     6
0017   0032    0977     6
0017   0036    1097     6
0017   0042    1277     6
0017   0043    1307     6
0017   0047    1427     6
0017   0053    1607     6
0017   0055    1667     6
0017   0056    1697     6
0017   0061    1847     6
0017   0062    1877     6
0017   0063    1907     6
0017   0066    1997     6
0017   0067    2027     6
0017   0073    2207     6
0017   0074    2237     6
0017   0076    2297     6
#19x   19z     19y      7c
0019   0000    0019     7
0019   0002    0079     7
0019   0003    0109     7
0019   0004    0139     7
0019   0006    0199     7
0019   0007    0229     7
0019   0011    0349     7
0019   0014    0439     7
0019   0020    0619     7
0019   0023    0709     7
0019   0024    0739     7
0019   0027    0829     7
0019   0028    0859     7
0019   0033    1009     7
0019   0037    1129     7
0019   0041    1249     7
0019   0042    1279     7
0019   0046    1399     7
0019   0047    1429     7
0019   0048    1459     7
0019   0051    1549     7
0019   0052    1579     7
0019   0053    1609     7
0019   0055    1669     7
0019   0056    1699     7
0019   0058    1759     7
0019   0062    1879     7
0019   0066    1999     7
0019   0067    2029     7
0019   0072    2179     7
0019   0074    2239     7
0019   0084    2539     7
#23x   23z     23y      4c
0023   0000    0023     4
0023   0002    0083     4
0023   0003    0113     4
0023   0007    0233     4
0023   0009    0293     4
0023   0011    0353     4
0023   0014    0443     4
0023   0018    0563     4
0023   0019    0593     4
0023   0022    0683     4
0023   0024    0743     4
0023   0028    0863     4
0023   0031    0953     4
0023   0032    0983     4
0023   0033    1013     4
0023   0036    1103     4
0023   0038    1163     4
0023   0042    1283     4
0023   0047    1433     4
0023   0050    1523     4
0023   0051    1553     4
0023   0052    1583     4
0023   0057    1733     4
0023   0060    1823     4
0023   0063    1913     4
0023   0066    2003     4
0023   0068    2063     4
0023   0071    2153     4
0023   0073    2213     4
0023   0074    2243     4
0023   0077    2333     4
#29x   29z     29y      2c
0029   0000    0029     2
0029   0002    0089     2
0029   0005    0179     2
0029   0007    0239     2
0029   0011    0359     2
0029   0013    0419     2
0029   0014    0449     2
0029   0015    0479     2
0029   0018    0569     2
0029   0019    0599     2
0029   0023    0719     2
0029   0027    0839     2
0029   0033    1019     2
0029   0036    1109     2
0029   0040    1229     2
0029   0041    1259     2
0029   0042    1289     2
0029   0046    1409     2
0029   0047    1439     2
0029   0051    1559     2
0029   0056    1709     2
0029   0062    1889     2
0029   0067    2039     2
0029   0068    2069     2
0029   0076    2309     2
0029   0077    2339     2
0029   0081    2459     2
0029   0084    2549     2
0029   0089    2699     2
0029   0092    2789     2
0029   0093    2819     2
