#x      #y      #z      #c      #comment Prime
1       01      01      1       #P
1       07      07      1       #P
1       11      11      1       #P
1       13      13      1       #P
1       17      17      1       #P
1       19      19      1       #P
1       23      23      1       #P
1       29      29      1       #P
#x      #y      #z      #c      #comment Prime
29      01      29      1       #P
29      07      23      1       #P
29      11      19      1       #P
29      13      17      1       #P
29      17      13      1       #P
29      19      11      1       #P
29      23      07      1       #P
29      29      01      1       #P
