# set palette model RGB maxcolors 8
# set palette defined ( 01 "black", 07 "green", 11 "blue", 13 "red" , 17 "pink", 19 "skyblue" , 23 "olive", 29 "gold")


#x       y       z      c                   # comment
01      00      00      01                  #01
01      03      03      01                  #01
01      05      05      01                  #01
01      06      06      01                  #01
01      09      09      01                  #01
01      10      10      01                  #01
01      12      12      01                  #01
01      15      15      01                  #01
01      18      18      01                  #01
01      20      20      01                  #01
01      21      21      01                  #01
01      24      24      01                  #01
01      25      25      01                  #01
01      27      27      01                  #01

