# set palette model RGB maxcolors 8
# set palette defined ( 01 "black", 07 "green", 11 "blue", 13 "red" , 17 "pink", 19 "skyblue" , 23 "olive", 29 "gold")


#x      #y      #z      #c                  #comment Prime

01      00      00      13                  #13
01      21      03      13                  #13
01      05      05      13                  #13
01      12      06      13                  #13
01      03      09      13                  #13
01      10      10      13                  #13
01      24      12      13                  #13
01      15      15      13                  #13
01      06      18      13                  #13
01      20      20      13                  #13
01      27      21      13                  #13
01      18      24      13                  #13
01      25      25      13                  #13
01      09      27      13                  #13




01      00      00      17                  #17
01      09      03      17                  #17
01      25      05      17                  #17
01      18      06      17                  #17
01      27      09      17                  #17
01      20      10      17                  #17
01      06      12      17                  #17
01      15      15      17                  #17
01      24      18      17                  #17
01      10      20      17                  #17
01      03      21      17                  #17
01      12      24      17                  #17
01      05      25      17                  #17
01      21      27      17                  #17






01      00      00      11                  #11
01      03      03      11                  #11
01      25      05      11                  #11
01      06      06      11                  #11
01      09      09      11                  #11
01      20      10      11                  #11
01      12      12      11                  #11
01      15      15      11                  #11
01      18      18      11                  #11
01      10      20      11                  #11
01      21      21      11                  #11
01      24      24      11                  #11
01      05      25      11                  #11
01      27      27      11                  #11




01      00      00      19                  #19
01      27      03      19                  #19
01      05      05      19                  #19
01      24      06      19                  #19
01      21      09      19                  #19
01      10      10      19                  #19
01      18      12      19                  #19
01      15      15      19                  #19
01      12      18      19                  #19
01      20      20      19                  #19
01      09      21      19                  #19
01      06      24      19                  #19
01      25      25      19                  #19
01      03      27      19                  #19





01      00      00      07                  #07
01      09      03      07                  #07
01      05      05      07                  #07
01      18      06      07                  #07
01      27      09      07                  #07
01      10      10      07                  #07
01      06      12      07                  #07
01      15      15      07                  #07
01      24      18      07                  #07
01      20      20      07                  #07
01      03      21      07                  #07
01      12      24      07                  #07
01      25      25      07                  #07
01      21      27      07                  #07







01      00      00      23                  #23
01      21      03      23                  #23
01      25      05      23                  #23
01      12      06      23                  #23
01      03      09      23                  #23
01      20      10      23                  #23
01      24      12      23                  #23
01      15      15      23                  #23
01      06      18      23                  #23
01      10      20      23                  #23
01      27      21      23                  #23
01      18      24      23                  #23
01      05      25      23                  #23
01      09      27      23                  #23



01      00      00      01                  #01
01      03      03      01                  #01
01      05      05      01                  #01
01      06      06      01                  #01
01      09      09      01                  #01
01      10      10      01                  #01
01      12      12      01                  #01
01      15      15      01                  #01
01      18      18      01                  #01
01      20      20      01                  #01
01      21      21      01                  #01
01      24      24      01                  #01
01      25      25      01                  #01
01      27      27      01                  #01





01      00      00      29                  #29
01      27      03      29                  #29
01      25      05      29                  #29
01      24      06      29                  #29
01      21      09      29                  #29
01      20      10      29                  #29
01      18      12      29                  #29
01      15      15      29                  #29
01      12      18      29                  #29
01      10      20      29                  #29
01      09      21      29                  #29
01      06      24      29                  #29
01      05      25      29                  #29
01      03      27      29                  #29
