# set palette model RGB maxcolors 8
# set palette defined ( 01 "black", 07 "green", 11 "blue", 13 "red" , 17 "pink", 19 "skyblue" , 23 "olive", 29 "gold")


#x      #y      #z      #c                  #comment Prime

01      00      00      11                  #11
01      03      03      11                  #11
01      25      05      11                  #11
01      06      06      11                  #11
01      09      09      11                  #11
01      20      10      11                  #11
01      12      12      11                  #11
01      15      15      11                  #11
01      18      18      11                  #11
01      10      20      11                  #11
01      21      21      11                  #11
01      24      24      11                  #11
01      05      25      11                  #11
01      27      27      11                  #11
