0121 01 04      11 × 11
0451 01 15      11 × 41
0781 01 26      11 × 71
1111 01 37      11 × 101
1441 01 48      11 × 131
0187 07 06      11 × 17
0517 07 17      11 × 47
1177 07 38      11 × 107
1507 07 50      11 × 137
0341 11 11      11 × 31
0671 11 22      11 × 61
1331 11 44      11 × 121
1661 11 55      11 × 151
0253 13 08      11 x 23
0583 13 19      11 x 53
0913 13 30      11 x 83
1243 13 41      11 x 113
1573 13 52      11 x 143
0407 17 13      11 × 37
0737 17 24      11 × 67
1067 17 35      11 × 97
1397 17 46      11 × 127
0319 19 10      11 × 29
0649 19 21      11 × 59
0979 19 32      11 × 89
1639 19 54      11 × 149
0143 23 04      11 × 13 
0473 23 15      11 × 43
0803 23 26      11 × 73
1133 23 37      11 × 103
1793 23 59      11 × 163
0209 29 06      11 × 19
0869 29 28      11 × 79 
1199 29 39      11 × 109
1529 29 50      11 × 139
