x,y,z,prime,pcolor
060,00,2, ,gray91
060,01,1.96666666666667, ,gray91
060,02,1.93333333333333, ,gray91
060,03,1.9, ,gray91
060,04,1.86666666666667, ,gray91
060,05,1.83333333333333, ,gray91
060,06,1.8, ,gray91
060,07,1.76666666666667, ,gray91
060,08,1.73333333333333, ,gray91
060,09,1.7, ,gray91
060,10,1.66666666666667, ,gray91
060,11,1.63333333333333, ,gray91
060,12,1.6, ,gray91
060,13,1.56666666666667, ,gray91
060,14,1.53333333333333, ,gray91
060,15,1.5, ,gray91
060,16,1.46666666666667, ,gray91
060,17,1.43333333333333, ,gray91
060,18,1.4, ,gray91
060,19,1.36666666666667, ,gray91
060,20,1.33333333333333, ,gray91
060,21,1.3, ,gray91
060,22,1.26666666666667, ,gray91
060,23,1.23333333333333, ,gray91
060,24,1.2, ,gray91
060,25,1.16666666666667, ,gray91
060,26,1.13333333333333, ,gray91
060,27,1.1, ,gray91
060,28,1.06666666666667, ,gray91
060,29,1.03333333333333, ,gray91
061,00,2.03333333333333, ,gray91
061,01,2,P ,BLUE
061,02,1.96666666666667, ,gray91
061,03,1.93333333333333, ,gray91
061,04,1.9, ,gray91
061,05,1.86666666666667, ,gray91
061,06,1.83333333333333, ,gray91
061,07,1.8, ,gray91
061,08,1.76666666666667, ,gray91
061,09,1.73333333333333, ,gray91
061,10,1.7, ,gray91
061,11,1.66666666666667, ,gray91
061,12,1.63333333333333, ,gray91
061,13,1.6, ,gray91
061,14,1.56666666666667, ,gray91
061,15,1.53333333333333, ,gray91
061,16,1.5, ,gray91
061,17,1.46666666666667, ,gray91
061,18,1.43333333333333, ,gray91
061,19,1.4, ,gray91
061,20,1.36666666666667, ,gray91
061,21,1.33333333333333, ,gray91
061,22,1.3, ,gray91
061,23,1.26666666666667, ,gray91
061,24,1.23333333333333, ,gray91
061,25,1.2, ,gray91
061,26,1.16666666666667, ,gray91
061,27,1.13333333333333, ,gray91
061,28,1.1, ,gray91
061,29,1.06666666666667, ,gray91
062,00,2.06666666666667, ,gray91
062,01,2.03333333333333, ,gray91
062,02,2, ,gray91
062,03,1.96666666666667, ,gray91
062,04,1.93333333333333, ,gray91
062,05,1.9, ,gray91
062,06,1.86666666666667, ,gray91
062,07,1.83333333333333, ,gray91
062,08,1.8, ,gray91
062,09,1.76666666666667, ,gray91
062,10,1.73333333333333, ,gray91
062,11,1.7, ,gray91
062,12,1.66666666666667, ,gray91
062,13,1.63333333333333, ,gray91
062,14,1.6, ,gray91
062,15,1.56666666666667, ,gray91
062,16,1.53333333333333, ,gray91
062,17,1.5, ,gray91
062,18,1.46666666666667, ,gray91
062,19,1.43333333333333, ,gray91
062,20,1.4, ,gray91
062,21,1.36666666666667, ,gray91
062,22,1.33333333333333, ,gray91
062,23,1.3, ,gray91
062,24,1.26666666666667, ,gray91
062,25,1.23333333333333, ,gray91
062,26,1.2, ,gray91
062,27,1.16666666666667, ,gray91
062,28,1.13333333333333, ,gray91
062,29,1.1, ,gray91
063,00,2.1, ,gray91
063,01,2.06666666666667, ,gray91
063,02,2.03333333333333, ,gray91
063,03,2, ,gray91
063,04,1.96666666666667, ,gray91
063,05,1.93333333333333, ,gray91
063,06,1.9, ,gray91
063,07,1.86666666666667, ,gray91
063,08,1.83333333333333, ,gray91
063,09,1.8, ,gray91
063,10,1.76666666666667, ,gray91
063,11,1.73333333333333, ,gray91
063,12,1.7, ,gray91
063,13,1.66666666666667, ,gray91
063,14,1.63333333333333, ,gray91
063,15,1.6, ,gray91
063,16,1.56666666666667, ,gray91
063,17,1.53333333333333, ,gray91
063,18,1.5, ,gray91
063,19,1.46666666666667, ,gray91
063,20,1.43333333333333, ,gray91
063,21,1.4, ,gray91
063,22,1.36666666666667, ,gray91
063,23,1.33333333333333, ,gray91
063,24,1.3, ,gray91
063,25,1.26666666666667, ,gray91
063,26,1.23333333333333, ,gray91
063,27,1.2, ,gray91
063,28,1.16666666666667, ,gray91
063,29,1.13333333333333, ,gray91
064,00,2.13333333333333, ,gray91
064,01,2.1, ,gray91
064,02,2.06666666666667, ,gray91
064,03,2.03333333333333, ,gray91
064,04,2, ,gray91
064,05,1.96666666666667, ,gray91
064,06,1.93333333333333, ,gray91
064,07,1.9, ,gray91
064,08,1.86666666666667, ,gray91
064,09,1.83333333333333, ,gray91
064,10,1.8, ,gray91
064,11,1.76666666666667, ,gray91
064,12,1.73333333333333, ,gray91
064,13,1.7, ,gray91
064,14,1.66666666666667, ,gray91
064,15,1.63333333333333, ,gray91
064,16,1.6, ,gray91
064,17,1.56666666666667, ,gray91
064,18,1.53333333333333, ,gray91
064,19,1.5, ,gray91
064,20,1.46666666666667, ,gray91
064,21,1.43333333333333, ,gray91
064,22,1.4, ,gray91
064,23,1.36666666666667, ,gray91
064,24,1.33333333333333, ,gray91
064,25,1.3, ,gray91
064,26,1.26666666666667, ,gray91
064,27,1.23333333333333, ,gray91
064,28,1.2, ,gray91
064,29,1.16666666666667, ,gray91
065,00,2.16666666666667, ,gray91
065,01,2.13333333333333, ,gray91
065,02,2.1, ,gray91
065,03,2.06666666666667, ,gray91
065,04,2.03333333333333, ,gray91
065,05,2, ,gray91
065,06,1.96666666666667, ,gray91
065,07,1.93333333333333, ,gray91
065,08,1.9, ,gray91
065,09,1.86666666666667, ,gray91
065,10,1.83333333333333, ,gray91
065,11,1.8, ,gray91
065,12,1.76666666666667, ,gray91
065,13,1.73333333333333, ,gray91
065,14,1.7, ,gray91
065,15,1.66666666666667, ,gray91
065,16,1.63333333333333, ,gray91
065,17,1.6, ,gray91
065,18,1.56666666666667, ,gray91
065,19,1.53333333333333, ,gray91
065,20,1.5, ,gray91
065,21,1.46666666666667, ,gray91
065,22,1.43333333333333, ,gray91
065,23,1.4, ,gray91
065,24,1.36666666666667, ,gray91
065,25,1.33333333333333, ,gray91
065,26,1.3, ,gray91
065,27,1.26666666666667, ,gray91
065,28,1.23333333333333, ,gray91
065,29,1.2, ,gray91
066,00,2.2, ,gray91
066,01,2.16666666666667, ,gray91
066,02,2.13333333333333, ,gray91
066,03,2.1, ,gray91
066,04,2.06666666666667, ,gray91
066,05,2.03333333333333, ,gray91
066,06,2, ,gray91
066,07,1.96666666666667, ,gray91
066,08,1.93333333333333, ,gray91
066,09,1.9, ,gray91
066,10,1.86666666666667, ,gray91
066,11,1.83333333333333, ,gray91
066,12,1.8, ,gray91
066,13,1.76666666666667, ,gray91
066,14,1.73333333333333, ,gray91
066,15,1.7, ,gray91
066,16,1.66666666666667, ,gray91
066,17,1.63333333333333, ,gray91
066,18,1.6, ,gray91
066,19,1.56666666666667, ,gray91
066,20,1.53333333333333, ,gray91
066,21,1.5, ,gray91
066,22,1.46666666666667, ,gray91
