#x,y,z,prime,color
x,y,z,prime,pcolor

NUMBER  PFLAG   x,y,z,prime,pcolor
1       P       01,01,00,01,BLUE
7       P       07,07,00,07,GREEN
11      P       11,11,00,11,RED
13      P       13,13,00,13,GOLD
17      P       17,17,00,17,GOLD
19      P       19,19,00,19,RED
23      P       23,23,00,23,GREEN
29      P       29,29,00,29,BLUE
31      P       01,01,01,31,BLUE
37      P       07,07,01,37,GREEN
41      P       11,11,01,41,RED
43      P       13,13,01,43,GOLD
47      P       17,17,01,47,GOLD
53      P       23,23,01,53,GREEN
59      P       29,29,01,59,BLUE
61      P       01,01,02,61,BLUE
67      P       07,07,02,67,GREEN
71      P       11,11,02,71,RED
73      P       13,13,02,73,GOLD
79      P       19,19,02,79,RED
83      P       23,23,02,83,GREEN
89      P       29,29,02,89,BLUE
97      P       07,07,03,97,GREEN
101     P       11,11,03,101,RED
103     P       13,13,03,103,GOLD
107     P       17,17,03,107,GOLD
109     P       19,19,03,109,RED
113     P       23,23,03,113,GREEN
127     P       07,07,04,127,GREEN
131     P       11,11,04,131,RED
137     P       17,17,04,137,GOLD
139     P       19,19,04,139,RED
149     P       29,29,04,149,BLUE
151     P       01,01,05,151,BLUE
157     P       07,07,05,157,GREEN
163     P       13,13,05,163,GOLD
167     P       17,17,05,167,GOLD
173     P       23,23,05,173,GREEN
179     P       29,29,05,179,BLUE
181     P       01,01,06,181,BLUE
191     P       11,11,06,191,RED
193     P       13,13,06,193,GOLD
197     P       17,17,06,197,GOLD
199     P       19,19,06,199,RED
211     P       01,01,07,211,BLUE
223     P       13,13,07,223,GOLD
227     P       17,17,07,227,GOLD
229     P       19,19,07,229,RED
233     P       23,23,07,233,GREEN
239     P       29,29,07,239,BLUE
241     P       01,01,08,241,BLUE
251     P       11,11,08,251,RED
257     P       17,17,08,257,GOLD
263     P       23,23,08,263,GREEN
269     P       29,29,08,269,BLUE
271     P       01,01,09,271,BLUE
277     P       07,07,09,277,GREEN
281     P       11,11,09,281,RED
283     P       13,13,09,283,GOLD
293     P       23,23,09,293,GREEN
307     P       07,07,10,307,GREEN
311     P       11,11,10,311,RED
313     P       13,13,10,313,GOLD
317     P       17,17,10,317,GOLD
331     P       01,01,11,331,BLUE
337     P       07,07,11,337,GREEN
347     P       17,17,11,347,GOLD
349     P       19,19,11,349,RED
353     P       23,23,11,353,GREEN
359     P       29,29,11,359,BLUE
367     P       07,07,12,367,GREEN
373     P       13,13,12,373,GOLD
379     P       19,19,12,379,RED
383     P       23,23,12,383,GREEN
389     P       29,29,12,389,BLUE
397     P       07,07,13,397,GREEN
401     P       11,11,13,401,RED
409     P       19,19,13,409,RED
419     P       29,29,13,419,BLUE
421     P       01,01,14,421,BLUE
431     P       11,11,14,431,RED
433     P       13,13,14,433,GOLD
439     P       19,19,14,439,RED
443     P       23,23,14,443,GREEN
449     P       29,29,14,449,BLUE
457     P       07,07,15,457,GREEN
461     P       11,11,15,461,RED
463     P       13,13,15,463,GOLD
467     P       17,17,15,467,GOLD
479     P       29,29,15,479,BLUE
487     P       07,07,16,487,GREEN
491     P       11,11,16,491,RED
499     P       19,19,16,499,RED
503     P       23,23,16,503,GREEN
509     P       29,29,16,509,BLUE
521     P       11,11,17,521,RED
523     P       13,13,17,523,GOLD
541     P       01,01,18,541,BLUE
547     P       07,07,18,547,GREEN
557     P       17,17,18,557,GOLD
563     P       23,23,18,563,GREEN
569     P       29,29,18,569,BLUE
571     P       01,01,19,571,BLUE
577     P       07,07,19,577,GREEN
587     P       17,17,19,587,GOLD
593     P       23,23,19,593,GREEN
599     P       29,29,19,599,BLUE
601     P       01,01,20,601,BLUE
607     P       07,07,20,607,GREEN
613     P       13,13,20,613,GOLD
617     P       17,17,20,617,GOLD
619     P       19,19,20,619,RED
631     P       01,01,21,631,BLUE
641     P       11,11,21,641,RED
643     P       13,13,21,643,GOLD
647     P       17,17,21,647,GOLD
653     P       23,23,21,653,GREEN
659     P       29,29,21,659,BLUE
661     P       01,01,22,661,BLUE
673     P       13,13,22,673,GOLD
677     P       17,17,22,677,GOLD
683     P       23,23,22,683,GREEN
691     P       01,01,23,691,BLUE
701     P       11,11,23,701,RED
709     P       19,19,23,709,RED
719     P       29,29,23,719,BLUE
727     P       07,07,24,727,GREEN
733     P       13,13,24,733,GOLD
739     P       19,19,24,739,RED
743     P       23,23,24,743,GREEN
751     P       01,01,25,751,BLUE
757     P       07,07,25,757,GREEN
761     P       11,11,25,761,RED
769     P       19,19,25,769,RED
773     P       23,23,25,773,GREEN
787     P       07,07,26,787,GREEN
797     P       17,17,26,797,GOLD
809     P       29,29,26,809,BLUE
811     P       01,01,27,811,BLUE
821     P       11,11,27,821,RED
823     P       13,13,27,823,GOLD
827     P       17,17,27,827,GOLD
829     P       19,19,27,829,RED
839     P       29,29,27,839,BLUE
853     P       13,13,28,853,GOLD
857     P       17,17,28,857,GOLD
859     P       19,19,28,859,RED
863     P       23,23,28,863,GREEN
877     P       07,07,29,877,GREEN
881     P       11,11,29,881,RED
883     P       13,13,29,883,GOLD
887     P       17,17,29,887,GOLD
907     P       07,07,30,907,GREEN
911     P       11,11,30,911,RED
919     P       19,19,30,919,RED
929     P       29,29,30,929,BLUE
937     P       07,07,31,937,GREEN
941     P       11,11,31,941,RED
947     P       17,17,31,947,GOLD
953     P       23,23,31,953,GREEN
967     P       07,07,32,967,GREEN
971     P       11,11,32,971,RED
977     P       17,17,32,977,GOLD
983     P       23,23,32,983,GREEN
991     P       01,01,33,991,BLUE
997     P       07,07,33,997,GREEN
1009    P       19,19,33,1009,RED
1013    P       23,23,33,1013,GREEN
1019    P       29,29,33,1019,BLUE
1021    P       01,01,34,1021,BLUE
1031    P       11,11,34,1031,RED
1033    P       13,13,34,1033,GOLD
1039    P       19,19,34,1039,RED
1049    P       29,29,34,1049,BLUE
1051    P       01,01,35,1051,BLUE
1061    P       11,11,35,1061,RED
1063    P       13,13,35,1063,GOLD
1069    P       19,19,35,1069,RED
1087    P       07,07,36,1087,GREEN
1091    P       11,11,36,1091,RED
1093    P       13,13,36,1093,GOLD
1097    P       17,17,36,1097,GOLD
1103    P       23,23,36,1103,GREEN
1109    P       29,29,36,1109,BLUE
1117    P       07,07,37,1117,GREEN
1123    P       13,13,37,1123,GOLD
1129    P       19,19,37,1129,RED
1151    P       11,11,38,1151,RED
1153    P       13,13,38,1153,GOLD
1163    P       23,23,38,1163,GREEN
1171    P       01,01,39,1171,BLUE
1181    P       11,11,39,1181,RED
1187    P       17,17,39,1187,GOLD
1193    P       23,23,39,1193,GREEN
1201    P       01,01,40,1201,BLUE
1213    P       13,13,40,1213,GOLD
1217    P       17,17,40,1217,GOLD
1223    P       23,23,40,1223,GREEN
1229    P       29,29,40,1229,BLUE
1231    P       01,01,41,1231,BLUE
1237    P       07,07,41,1237,GREEN
1249    P       19,19,41,1249,RED
1259    P       29,29,41,1259,BLUE
1277    P       17,17,42,1277,GOLD
1279    P       19,19,42,1279,RED
1283    P       23,23,42,1283,GREEN
1289    P       29,29,42,1289,BLUE
1291    P       01,01,43,1291,BLUE
1297    P       07,07,43,1297,GREEN
1301    P       11,11,43,1301,RED
1303    P       13,13,43,1303,GOLD
1307    P       17,17,43,1307,GOLD
1319    P       29,29,43,1319,BLUE
1321    P       01,01,44,1321,BLUE
1327    P       07,07,44,1327,GREEN
1361    P       11,11,45,1361,RED
1367    P       17,17,45,1367,GOLD
1373    P       23,23,45,1373,GREEN
1381    P       01,01,46,1381,BLUE
1399    P       19,19,46,1399,RED
1409    P       29,29,46,1409,BLUE
1423    P       13,13,47,1423,GOLD
1427    P       17,17,47,1427,GOLD
1429    P       19,19,47,1429,RED
1433    P       23,23,47,1433,GREEN
1439    P       29,29,47,1439,BLUE
1447    P       07,07,48,1447,GREEN
1451    P       11,11,48,1451,RED
1453    P       13,13,48,1453,GOLD
1459    P       19,19,48,1459,RED
1471    P       01,01,49,1471,BLUE
1481    P       11,11,49,1481,RED
1483    P       13,13,49,1483,GOLD
1487    P       17,17,49,1487,GOLD
1489    P       19,19,49,1489,RED
1493    P       23,23,49,1493,GREEN
1499    P       29,29,49,1499,BLUE
1511    P       11,11,50,1511,RED
1523    P       23,23,50,1523,GREEN
1531    P       01,01,51,1531,BLUE
1543    P       13,13,51,1543,GOLD
1549    P       19,19,51,1549,RED
1553    P       23,23,51,1553,GREEN
1559    P       29,29,51,1559,BLUE
1567    P       07,07,52,1567,GREEN
1571    P       11,11,52,1571,RED
1579    P       19,19,52,1579,RED
1583    P       23,23,52,1583,GREEN
1597    P       07,07,53,1597,GREEN
1601    P       11,11,53,1601,RED
1607    P       17,17,53,1607,GOLD
1609    P       19,19,53,1609,RED
1613    P       23,23,53,1613,GREEN
1619    P       29,29,53,1619,BLUE
1621    P       01,01,54,1621,BLUE
1627    P       07,07,54,1627,GREEN
1637    P       17,17,54,1637,GOLD
1657    P       07,07,55,1657,GREEN
1663    P       13,13,55,1663,GOLD
1667    P       17,17,55,1667,GOLD
1669    P       19,19,55,1669,RED
1693    P       13,13,56,1693,GOLD
1697    P       17,17,56,1697,GOLD
1699    P       19,19,56,1699,RED
1709    P       29,29,56,1709,BLUE
1721    P       11,11,57,1721,RED
1723    P       13,13,57,1723,GOLD
1733    P       23,23,57,1733,GREEN
1741    P       01,01,58,1741,BLUE
1747    P       07,07,58,1747,GREEN
1753    P       13,13,58,1753,GOLD
1759    P       19,19,58,1759,RED
1777    P       07,07,59,1777,GREEN
1783    P       13,13,59,1783,GOLD
1787    P       17,17,59,1787,GOLD
1789    P       19,19,59,1789,RED
1801    P       01,01,60,1801,BLUE
1811    P       11,11,60,1811,RED
1823    P       23,23,60,1823,GREEN
1831    P       01,01,61,1831,BLUE
1847    P       17,17,61,1847,GOLD
1861    P       01,01,62,1861,BLUE
1867    P       07,07,62,1867,GREEN
1871    P       11,11,62,1871,RED
1873    P       13,13,62,1873,GOLD
1877    P       17,17,62,1877,GOLD
1879    P       19,19,62,1879,RED
1889    P       29,29,62,1889,BLUE
1901    P       11,11,63,1901,RED
1907    P       17,17,63,1907,GOLD
1913    P       23,23,63,1913,GREEN
1931    P       11,11,64,1931,RED
1933    P       13,13,64,1933,GOLD
1949    P       29,29,64,1949,BLUE
1951    P       01,01,65,1951,BLUE
1973    P       23,23,65,1973,GREEN
1979    P       29,29,65,1979,BLUE
1987    P       07,07,66,1987,GREEN
1993    P       13,13,66,1993,GOLD
1997    P       17,17,66,1997,GOLD
1999    P       19,19,66,1999,RED
2003    P       23,23,66,2003,GREEN
2011    P       01,01,67,2011,BLUE
2017    P       07,07,67,2017,GREEN
2027    P       17,17,67,2027,GOLD
2029    P       19,19,67,2029,RED
2039    P       29,29,67,2039,BLUE
2053    P       13,13,68,2053,GOLD
2063    P       23,23,68,2063,GREEN
2069    P       29,29,68,2069,BLUE
2081    P       11,11,69,2081,RED
2083    P       13,13,69,2083,GOLD
2087    P       17,17,69,2087,GOLD
2089    P       19,19,69,2089,RED
2099    P       29,29,69,2099,BLUE
2111    P       11,11,70,2111,RED
2113    P       13,13,70,2113,GOLD
2129    P       29,29,70,2129,BLUE
2131    P       01,01,71,2131,BLUE
2137    P       07,07,71,2137,GREEN
2141    P       11,11,71,2141,RED
2143    P       13,13,71,2143,GOLD
2153    P       23,23,71,2153,GREEN
2161    P       01,01,72,2161,BLUE
2179    P       19,19,72,2179,RED
2203    P       13,13,73,2203,GOLD
2207    P       17,17,73,2207,GOLD
2213    P       23,23,73,2213,GREEN
2221    P       01,01,74,2221,BLUE
2237    P       17,17,74,2237,GOLD
2239    P       19,19,74,2239,RED
2243    P       23,23,74,2243,GREEN
2251    P       01,01,75,2251,BLUE
2267    P       17,17,75,2267,GOLD
2269    P       19,19,75,2269,RED
2273    P       23,23,75,2273,GREEN
2281    P       01,01,76,2281,BLUE
2287    P       07,07,76,2287,GREEN
2293    P       13,13,76,2293,GOLD
2297    P       17,17,76,2297,GOLD
2309    P       29,29,76,2309,BLUE
2311    P       01,01,77,2311,BLUE
