#x,y,z,prime,color
x,y,z,prime,pcolor
01,01,00,01,BLUE
01,01,01,31,BLUE
01,01,02,61,BLUE
01,01,05,151,BLUE
01,01,06,181,BLUE
01,01,07,211,BLUE
01,01,08,241,BLUE
01,01,09,271,BLUE
01,01,100,3001,BLUE
01,01,10005,300151,BLUE
01,01,10010,300301,BLUE
01,01,10011,300331,BLUE
01,01,10016,300481,BLUE
01,01,10017,300511,BLUE
01,01,10021,300631,BLUE
01,01,10022,300661,BLUE
01,01,10023,300691,BLUE
01,01,10024,300721,BLUE
01,01,1003,30091,BLUE
01,01,10031,300931,BLUE
01,01,10032,300961,BLUE
01,01,10035,301051,BLUE
01,01,10038,301141,BLUE
01,01,10046,301381,BLUE
01,01,10049,301471,BLUE
01,01,10050,301501,BLUE
01,01,10051,301531,BLUE
01,01,10053,301591,BLUE
01,01,10056,301681,BLUE
01,01,10057,301711,BLUE
01,01,1006,30181,BLUE
01,01,10061,301831,BLUE
01,01,1007,30211,BLUE
01,01,10073,302191,BLUE
01,01,10074,302221,BLUE
01,01,1008,30241,BLUE
01,01,10085,302551,BLUE
01,01,10086,302581,BLUE
01,01,1009,30271,BLUE
01,01,10093,302791,BLUE
01,01,10095,302851,BLUE
01,01,10098,302941,BLUE
01,01,10099,302971,BLUE
01,01,10103,303091,BLUE
01,01,10105,303151,BLUE
01,01,10109,303271,BLUE
01,01,10112,303361,BLUE
01,01,10114,303421,BLUE
01,01,10119,303571,BLUE
01,01,10123,303691,BLUE
01,01,10126,303781,BLUE
01,01,10129,303871,BLUE
01,01,1013,30391,BLUE
01,01,10131,303931,BLUE
01,01,10134,304021,BLUE
01,01,10136,304081,BLUE
01,01,10147,304411,BLUE
01,01,10150,304501,BLUE
01,01,10152,304561,BLUE
01,01,10155,304651,BLUE
01,01,10159,304771,BLUE
01,01,10161,304831,BLUE
01,01,10166,304981,BLUE
01,01,10170,305101,BLUE
01,01,10171,305131,BLUE
01,01,10176,305281,BLUE
01,01,10180,305401,BLUE
01,01,10184,305521,BLUE
01,01,10185,305551,BLUE
01,01,10186,305581,BLUE
01,01,10187,305611,BLUE
01,01,10192,305761,BLUE
01,01,10194,305821,BLUE
01,01,10199,305971,BLUE
01,01,102,3061,BLUE
01,01,10203,306091,BLUE
01,01,10204,306121,BLUE
01,01,1021,30631,BLUE
01,01,10210,306301,BLUE
01,01,10211,306331,BLUE
01,01,10214,306421,BLUE
01,01,10217,306511,BLUE
01,01,10218,306541,BLUE
01,01,1022,30661,BLUE
01,01,10222,306661,BLUE
01,01,10226,306781,BLUE
01,01,10229,306871,BLUE
01,01,10233,306991,BLUE
01,01,10239,307171,BLUE
01,01,10240,307201,BLUE
01,01,10242,307261,BLUE
01,01,10246,307381,BLUE
01,01,10249,307471,BLUE
01,01,10255,307651,BLUE
01,01,10257,307711,BLUE
01,01,1026,30781,BLUE
01,01,10261,307831,BLUE
01,01,10263,307891,BLUE
01,01,10268,308041,BLUE
01,01,10270,308101,BLUE
01,01,10277,308311,BLUE
01,01,1028,30841,BLUE
01,01,10283,308491,BLUE
01,01,10284,308521,BLUE
01,01,10285,308551,BLUE
01,01,10288,308641,BLUE
01,01,1029,30871,BLUE
01,01,10290,308701,BLUE
01,01,10292,308761,BLUE
01,01,10295,308851,BLUE
01,01,10301,309031,BLUE
01,01,10303,309091,BLUE
01,01,10304,309121,BLUE
01,01,10308,309241,BLUE
01,01,10309,309271,BLUE
01,01,1031,30931,BLUE
01,01,10313,309391,BLUE
01,01,10316,309481,BLUE
01,01,10318,309541,BLUE
01,01,10319,309571,BLUE
01,01,10326,309781,BLUE
01,01,10327,309811,BLUE
01,01,10331,309931,BLUE
01,01,10334,310021,BLUE
01,01,10336,310081,BLUE
01,01,10337,310111,BLUE
01,01,10341,310231,BLUE
01,01,10343,310291,BLUE
01,01,1035,31051,BLUE
01,01,10350,310501,BLUE
01,01,10353,310591,BLUE
01,01,10357,310711,BLUE
01,01,10358,310741,BLUE
01,01,10359,310771,BLUE
01,01,1036,31081,BLUE
01,01,10360,310801,BLUE
01,01,10361,310831,BLUE
01,01,10362,310861,BLUE
01,01,10368,311041,BLUE
01,01,10378,311341,BLUE
01,01,10379,311371,BLUE
01,01,10385,311551,BLUE
01,01,10393,311791,BLUE
01,01,10394,311821,BLUE
01,01,10396,311881,BLUE
01,01,104,3121,BLUE
01,01,10401,312031,BLUE
01,01,10404,312121,BLUE
01,01,10407,312211,BLUE
01,01,10408,312241,BLUE
01,01,1041,31231,BLUE
01,01,10411,312331,BLUE
01,01,10415,312451,BLUE
01,01,10420,312601,BLUE
01,01,10428,312841,BLUE
